"CBO94";"CBO2002";"cbo";"CIUo88";"titulo"
"24990";"261110";"2611-10";"2451";"Autores, periodistas y otros escritores"
"24990";"262205";"2622-05";"2455";"Actores y directores de cine, radio, teatro, televisión y afines"
"24990";"352310";"3523-10";"3449";"Agentes de las administraciones públicas de aduanas, impuestos y afines, no clasificados bajo otros epígrafes"
"24990";"412120";"4121-20";"4113";"Operadores de entrada de datos"
"24990";"413110";"4131-10";"4121";"Empleados de contabilidad y cálculo de costos"
"24990";"414110";"4141-10";"4131";"Empleados de control de abastecimientos inventario"
"24990";"710210";"7102-10";"7129";"Oficiales y operarios de la construcción (obra gruesa) y afines, no clasificados bajo otros epígrafes"
"24990";"766405";"7664-05";"7344";"Operarios de la fotografía y afines"
"30110";"410105";"4101-05";"4122";"Empleados de servicios estadísticos y financieros"
"30120";"351315";"3513-15";"3423";"Agentes públicos y privados de colocación y contratistas de mano de obra"
"30130";"410105";"4101-05";"4122";"Empleados de servicios estadísticos y financieros"
"30135";"410215";"4102-15";"4122";"Empleados de servicios estadísticos y financieros"
"30190";"111415";"1114-15";"1120";"Personal directivo de la administración pública"
"30190";"131205";"1312-05";"1229";"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes"
"30190";"131315";"1313-15";"1318";"Gerentes de empresas de servicios de cuidados Personales, limpieza y servicios similares"
"30190";"141715";"1417-15";"1317";"Gerentes de empresas de intermediación y servicios a empresas"
"30190";"141725";"1417-25";"1317";"Gerentes de empresas de intermediación y servicios a empresas"
"30190";"142305";"1423-05";"1233";"Directores de departamentos de ventas y comercialización"
"30190";"142310";"1423-10";"1234";"Directores de departamentos de publicidad y de relaciones públicas"
"30190";"142320";"1423-20";"1233";"Directores de departamentos de ventas y comercialización"
"30190";"254310";"2543-10";"3152";"Inspectores de seguridad y salud y control de calidad"
"30190";"261210";"2612-10";"2432";"Bibliotecarios, documentalistas y afines"
"30190";"342210";"3422-10";"3422";"Declarantes o gestores de aduana"
"30190";"351110";"3511-10";"3431";"Profesionales de nivel medio de servicios administrativos y afines"
"30190";"351315";"3513-15";"3423";"Agentes públicos y privados de colocación y contratistas de mano de obra"
"30190";"351505";"3515-05";"4115";"Secretarios"
"30190";"410105";"4101-05";"4122";"Empleados de servicios estadísticos y financieros"
"30190";"410215";"4102-15";"4122";"Empleados de servicios estadísticos y financieros"
"30190";"410225";"4102-25";"4122";"Empleados de servicios estadísticos y financieros"
"30190";"410235";"4102-35";"4122";"Empleados de servicios estadísticos y financieros"
"30190";"411005";"4110-05";"4121";"Empleados de contabilidad y cálculo de costos"
"30190";"411045";"4110-45";"4121";"Empleados de contabilidad y cálculo de costos"
"30190";"412105";"4121-05";"4112";"Operadores de máquinas de tratamiento de textos y afines"
"30190";"414210";"4142-10";"4132";"Empleados de servicios de apoyo a la producción"
"30190";"510105";"5101-05";"4133";"Empleados de servicios de transporte"
"30190";"510110";"5101-10";"9141";"Conserjes"
"30190";"760405";"7604-05";"7442";"Zapateros y afines"
"30220";"351110";"3511-10";"3431";"Profesionales de nivel medio de servicios administrativos y afines"
"30230";"410230";"4102-30";"4122";"Empleados de servicios estadísticos y financieros"
"30240";"410225";"4102-25";"4122";"Empleados de servicios estadísticos y financieros"
"30250";"410210";"4102-10";"4122";"Empleados de servicios estadísticos y financieros"
"30260";"410235";"4102-35";"4122";"Empleados de servicios estadísticos y financieros"
"30290";"222105";"2221-05";"2213";"Agrónomos y afines"
"30920";"410205";"4102-05";"4131";"Empleados de control de abastecimientos inventario"
"30930";"410220";"4102-20";"4131";"Empleados de control de abastecimientos inventario"
"30990";"351110";"3511-10";"3431";"Profesionales de nivel medio de servicios administrativos y afines"
"30990";"410205";"4102-05";"4131";"Empleados de control de abastecimientos inventario"
"30990";"410215";"4102-15";"4122";"Empleados de servicios estadísticos y financieros"
"31120";"411010";"4110-10";"4121";"Empleados de contabilidad y cálculo de costos"
"31125";"411010";"4110-10";"4121";"Empleados de contabilidad y cálculo de costos"
"31190";"351425";"3514-25";"3432";"Profesionales de nivel medio del derecho y servicios legales o afines"
"31190";"411005";"4110-05";"4121";"Empleados de contabilidad y cálculo de costos"
"31190";"411010";"4110-10";"4121";"Empleados de contabilidad y cálculo de costos"
"31220";"254415";"2544-15";"3442";"Funcionarios del fisco"
"31230";"254415";"2544-15";"3442";"Funcionarios del fisco"
"31240";"254405";"2544-05";"3442";"Funcionarios del fisco"
"31250";"254405";"2544-05";"3442";"Funcionarios del fisco"
"31260";"254405";"2544-05";"3442";"Funcionarios del fisco"
"31290";"251225";"2512-25";"2441";"Economistas"
"31290";"252205";"2522-05";"2411";"Contadores"
"31290";"252210";"2522-10";"2411";"Contadores"
"31290";"254110";"2541-10";"3442";"Funcionarios del fisco"
"31290";"254405";"2544-05";"3442";"Funcionarios del fisco"
"31290";"254415";"2544-15";"3442";"Funcionarios del fisco"
"31290";"342210";"3422-10";"3422";"Declarantes o gestores de aduana"
"31290";"351110";"3511-10";"3431";"Profesionales de nivel medio de servicios administrativos y afines"
"31290";"410105";"4101-05";"4122";"Empleados de servicios estadísticos y financieros"
"31290";"411005";"4110-05";"4121";"Empleados de contabilidad y cálculo de costos"
"31290";"413110";"4131-10";"4121";"Empleados de contabilidad y cálculo de costos"
"31290";"421310";"4213-10";"4215";"Cobradores y afines"
"31320";"242305";"2423-05";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"31330";"351810";"3518-10";"3450";"Inspectores de policía y detectives"
"31340";"204105";"2041-05";"3450";"Inspectores de policía y detectives"
"31390";"111415";"1114-15";"1120";"Personal directivo de la administración pública"
"31390";"242305";"2423-05";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"31390";"351810";"3518-10";"3450";"Inspectores de policía y detectives"
"31420";"241335";"2413-35";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"31430";"351410";"3514-10";"3432";"Profesionales de nivel medio del derecho y servicios legales o afines"
"31440";"351425";"3514-25";"3432";"Profesionales de nivel medio del derecho y servicios legales o afines"
"31490";"252210";"2522-10";"2411";"Contadores"
"31490";"351405";"3514-05";"3432";"Profesionales de nivel medio del derecho y servicios legales o afines"
"31490";"351410";"3514-10";"3432";"Profesionales de nivel medio del derecho y servicios legales o afines"
"31490";"351425";"3514-25";"3432";"Profesionales de nivel medio del derecho y servicios legales o afines"
"31490";"411020";"4110-20";"4121";"Empleados de contabilidad y cálculo de costos"
"31920";"352210";"3522-10";"3222";"Higienistas y otro personal sanitario"
"31930";"352205";"3522-05";"3444";"Funcionarios de servicios de expedición de licencias y permisos"
"31940";"352205";"3522-05";"3444";"Funcionarios de servicios de expedición de licencias y permisos"
"31950";"352305";"3523-05";"3449";"Agentes de las administraciones públicas de aduanas, impuestos y afines, no clasificados bajo otros epígrafes"
"31960";"352410";"3524-10";"3449";"Agentes de las administraciones públicas de aduanas, impuestos y afines, no clasificados bajo otros epígrafes"
"31970";"254405";"2544-05";"3442";"Funcionarios del fisco"
"31980";"254405";"2544-05";"3442";"Funcionarios del fisco"
"32105";"351505";"3515-05";"4115";"Secretarios"
"32110";"252305";"2523-05";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"32115";"252310";"2523-10";"3439";"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes"
"32190";"252310";"2523-10";"3439";"Profesionales de nivel medio de servicios de administración, no clasificados bajo otros epígrafes"
"32190";"351515";"3515-15";"4115";"Secretarios"
"32190";"410105";"4101-05";"4122";"Empleados de servicios estadísticos y financieros"
"32190";"411005";"4110-05";"4121";"Empleados de contabilidad y cálculo de costos"
"32190";"411010";"4110-10";"4121";"Empleados de contabilidad y cálculo de costos"
"32190";"422105";"4221-05";"4222";"Recepcionistas y empleados de informaciones"
"32320";"412105";"4121-05";"4112";"Operadores de máquinas de tratamiento de textos y afines"
