"CBO94";"CBO2002";"cbo";"CIUo88";"titulo"
"92190";"760605";NA;NA;NA
"92790";"760605";NA;NA;NA
"95490";"770105";NA;NA;NA
"95690";"716605";"7166-05";"7122";"Albañiles y mamposteros"
"95720";"716310";"7163-10";"7135";"Cristaleros"
"95750";"716315";"7163-15";"7135";"Cristaleros"
"95760";"991310";"9913-10";"7213";"Chapistas y caldereros"
"95790";"716310";"7163-10";"7135";"Cristaleros"
"95790";"716315";"7163-15";"7135";"Cristaleros"
"95920";"514325";"5143-25";"7143";"Limpiadores de fachadas y deshollinadores"
"95940";"715545";"7155-45";"7129";"Oficiales y operarios de la construcción (obra gruesa) y afines, no clasificados bajo otros epígrafes"
"95945";"717005";"7170-05";"9313";"Peones de la construcción de edificios"
"95955";"717015";"7170-15";"9313";"Peones de la construcción de edificios"
"95960";"781705";"7817-05";"7216";"Buzos"
"95965";"716605";"7166-05";"7122";"Albañiles y mamposteros"
"95975";"514315";"5143-15";"7143";"Limpiadores de fachadas y deshollinadores"
"95980";"715205";"7152-05";"7122";"Albañiles y mamposteros"
"95990";"715140";"7151-40";"8332";"Operadores de máquinas de movimiento de tierras y afines"
"95990";"715205";"7152-05";"7122";"Albañiles y mamposteros"
"95990";"716605";"7166-05";"7122";"Albañiles y mamposteros"
"95990";"991405";NA;NA;NA
"96120";"861115";"8611-15";"8161";"Operadores de instalaciones de producción de energía"
"96130";"861105";"8611-05";"8161";"Operadores de instalaciones de producción de energía"
"96140";"861120";"8611-20";"8161";"Operadores de instalaciones de producción de energía"
"96160";"861110";"8611-10";"8161";"Operadores de instalaciones de producción de energía"
"96180";"861205";"8612-05";"8161";"Operadores de instalaciones de producción de energía"
"96190";"861105";"8611-05";"8161";"Operadores de instalaciones de producción de energía"
"96190";"861110";"8611-10";"8161";"Operadores de instalaciones de producción de energía"
"96190";"861115";"8611-15";"8161";"Operadores de instalaciones de producción de energía"
"96190";"861205";"8612-05";"8161";"Operadores de instalaciones de producción de energía"
"96190";"862140";"8621-40";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96190";"862205";"8622-05";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96190";"911305";"9113-05";"7233";"Mecánicos y ajustadores de máquinas agrícolas e industriales"
"96910";"862150";"8621-50";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96920";"862130";"8621-30";"8162";"Operadores de máquinas de vapor y calderas"
"96925";"862405";"8624-05";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96930";"862120";"8621-20";"8162";"Operadores de máquinas de vapor y calderas"
"96940";"862140";"8621-40";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96950";"862205";"8622-05";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96955";"862305";"8623-05";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96960";"862310";"8623-10";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96970";"862505";"8625-05";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96980";"862515";"8625-15";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96990";"721210";"7212-10";"7223";"Reguladores y reguladores-operadores de máquinas herramientas"
"96990";"821210";"8212-10";"8121";"Operadores de hornos de minerales y de hornos de primera fusión de metales"
"96990";"862120";"8621-20";"8162";"Operadores de máquinas de vapor y calderas"
"96990";"862130";"8621-30";"8162";"Operadores de máquinas de vapor y calderas"
"96990";"862140";"8621-40";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96990";"862150";"8621-50";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96990";"862155";"8621-55";"8162";"Operadores de máquinas de vapor y calderas"
"96990";"862205";"8622-05";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96990";"862305";"8623-05";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96990";"862310";"8623-10";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96990";"862405";"8624-05";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96990";"862505";"8625-05";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96990";"862515";"8625-15";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"96990";"910105";NA;NA;NA
"96990";"910115";"9101-15";"7242";"Ajustadores electronicistas"
"96990";"910130";"9101-30";"7242";"Ajustadores electronicistas"
"96990";"911305";"9113-05";"7233";"Mecánicos y ajustadores de máquinas agrícolas e industriales"
"97110";"783210";"7832-10";"9333";"Peones de carga"
"97120";"783220";"7832-20";"9333";"Peones de carga"
"97130";"783215";"7832-15";"9333";"Peones de carga"
"97135";"783205";"7832-05";"9333";"Peones de carga"
"97140";"783220";"7832-20";"9333";"Peones de carga"
"97145";"783210";"7832-10";"9333";"Peones de carga"
"97150";"784105";"7841-05";"8290";"Otros operadores de máquinas y montadores"
"97155";"784110";"7841-10";"8290";"Otros operadores de máquinas y montadores"
"97160";"784115";"7841-15";"8290";"Otros operadores de máquinas y montadores"
"97170";"784125";"7841-25";"8290";"Otros operadores de máquinas y montadores"
"97180";"784120";"7841-20";"8290";"Otros operadores de máquinas y montadores"
"97190";"414105";"4141-05";"4131";"Empleados de control de abastecimientos inventario"
"97190";"414110";"4141-10";"4131";"Empleados de control de abastecimientos inventario"
"97190";"519930";"5199-30";"9142";"Lavadores de vehículos, ventanas y afines"
"97190";"771105";"7711-05";"7422";"Ebanistas y afines"
"97190";"772105";"7721-05";"7421";"Operarios del tratamiento de la madera"
"97190";"782220";"7822-20";"8334";"Operadores de carretillas elevadoras"
"97190";"783205";"7832-05";"9333";"Peones de carga"
"97190";"783210";"7832-10";"9333";"Peones de carga"
"97190";"783215";"7832-15";"9333";"Peones de carga"
"97190";"783220";"7832-20";"9333";"Peones de carga"
"97190";"783225";"7832-25";"9333";"Peones de carga"
"97190";"784105";"7841-05";"8290";"Otros operadores de máquinas y montadores"
"97190";"784110";"7841-10";"8290";"Otros operadores de máquinas y montadores"
"97190";"784115";"7841-15";"8290";"Otros operadores de máquinas y montadores"
"97190";"784120";"7841-20";"8290";"Otros operadores de máquinas y montadores"
"97190";"784125";"7841-25";"8290";"Otros operadores de máquinas y montadores"
"97190";"821410";"8214-10";"8223";"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales"
"97190";"823305";"8233-05";"8212";"Operadores de máquinas para fabricar cemento y otros productos minerales"
"97190";"862405";"8624-05";"8163";"Operadores de incineradores, instalaciones de tratamiento de agua y afines"
"97205";"724605";"7246-05";"7215";"Aparejadores y empalmadores de cables"
"97210";"724605";"7246-05";"7215";"Aparejadores y empalmadores de cables"
"97220";"724605";"7246-05";"7215";"Aparejadores y empalmadores de cables"
"97230";"724605";"7246-05";"7215";"Aparejadores y empalmadores de cables"
"97240";"724605";"7246-05";"7215";"Aparejadores y empalmadores de cables"
"97250";"724605";"7246-05";"7215";"Aparejadores y empalmadores de cables"
"97290";"724605";"7246-05";"7215";"Aparejadores y empalmadores de cables"
"97290";"724610";"7246-10";"7215";"Aparejadores y empalmadores de cables"
"97320";"782130";"7821-30";"8333";"Operadores de grúas, de aparatos elevadores y afines"
"97323";"782135";"7821-35";"8333";"Operadores de grúas, de aparatos elevadores y afines"
"97325";"782110";"7821-10";"8333";"Operadores de grúas, de aparatos elevadores y afines"
"97330";"782115";NA;NA;NA
"97334";"782140";NA;NA;NA
"97335";"782125";NA;NA;NA
"97340";"782115";NA;NA;NA
"97345";"782135";NA;NA;NA
"97350";"782205";NA;NA;NA
"97360";"782145";NA;NA;NA
"97365";"782120";NA;NA;NA
"97390";"782110";NA;NA;NA
"97390";"782115";NA;NA;NA
"97390";"782125";NA;NA;NA
"97390";"782130";NA;NA;NA
"97390";"782145";NA;NA;NA
"97390";"782205";NA;NA;NA
"97390";"782605";NA;NA;NA
"97410";"715125";NA;NA;NA
"97420";"715115";NA;NA;NA
"97422";"715135";NA;NA;NA
"97425";"715120";NA;NA;NA
"97430";"715145";NA;NA;NA
"97435";"782105";NA;NA;NA
"97440";"715105";NA;NA;NA
"97445";"715130";NA;NA;NA
"97450";"715110";NA;NA;NA
"97465";"715140";NA;NA;NA
"97470";"715405";NA;NA;NA
"97472";"715410";NA;NA;NA
"97475";"715415";NA;NA;NA
"97477";"717025";NA;NA;NA
"97480";"717010";NA;NA;NA
"97490";"710215";NA;NA;NA
"97490";"715105";NA;NA;NA
"97490";"715115";NA;NA;NA
"97490";"715125";NA;NA;NA
"97490";"715130";NA;NA;NA
"97490";"715135";NA;NA;NA
"97490";"715140";NA;NA;NA
"97490";"715145";NA;NA;NA
"97490";"715405";NA;NA;NA
"97490";"715410";NA;NA;NA
"97490";"717010";NA;NA;NA
"97490";"782105";NA;NA;NA
"97490";"910105";NA;NA;NA
"97490";"954205";NA;NA;NA
"97920";"782220";NA;NA;NA
"97925";"782135";NA;NA;NA
"97935";"414115";NA;NA;NA
"97990";"414110";NA;NA;NA
"97990";"711115";NA;NA;NA
"97990";"715135";NA;NA;NA
"97990";"715140";NA;NA;NA
"97990";"772105";NA;NA;NA
"97990";"782110";NA;NA;NA
"97990";"782115";NA;NA;NA
"97990";"782130";NA;NA;NA
"97990";"782220";NA;NA;NA
"97990";"782610";NA;NA;NA
"97990";"782630";NA;NA;NA
"97990";"783210";NA;NA;NA
"98120";"782705";NA;NA;NA
"98130";"782705";NA;NA;NA
"98140";"782715";NA;NA;NA
"98150";"782705";NA;NA;NA
"98190";"215135";NA;NA;NA
"98190";"215145";NA;NA;NA
"98215";"862110";NA;NA;NA
"98220";"862110";NA;NA;NA
"98230";"919115";NA;NA;NA
"98290";"720110";NA;NA;NA
"98290";"782710";NA;NA;NA
"98290";"862110";NA;NA;NA
"98320";"782610";NA;NA;NA
"98330";"862105";NA;NA;NA
"98340";"782625";NA;NA;NA
"98350";"782615";NA;NA;NA
"98360";"782610";NA;NA;NA
"98390";"342405";NA;NA;NA
"98390";"720110";NA;NA;NA
"98390";"782120";NA;NA;NA
"98390";"862105";NA;NA;NA
"98440";"783110";NA;NA;NA
"98445";"783110";NA;NA;NA
"98450";"783105";NA;NA;NA
"98460";"783110";NA;NA;NA
"98490";"342405";NA;NA;NA
"98490";"414215";NA;NA;NA
"98490";"511220";NA;NA;NA
"98490";"517330";NA;NA;NA
"98490";"782610";NA;NA;NA
"98490";"782625";NA;NA;NA
"98490";"783105";NA;NA;NA
"98490";"783110";NA;NA;NA
"98510";"782305";NA;NA;NA
"98520";"782620";NA;NA;NA
"98530";"782315";NA;NA;NA
"98535";"782305";NA;NA;NA
"98540";"782410";NA;NA;NA
"98550";"782310";NA;NA;NA
"98560";"782510";NA;NA;NA
"98570";"519110";NA;NA;NA
"98580";"782505";NA;NA;NA
"98582";"782505";NA;NA;NA
"98585";"715145";NA;NA;NA
"98590";"423105";NA;NA;NA
