"CBO94";"CBO2002";"cbo";"CIUo88";"titulo"
"63310";"622310";"6223-10";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63320";"622315";"6223-15";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63330";"622315";"6223-15";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63340";"622315";"6223-15";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63350";"622305";"6223-05";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63360";"622310";"6223-10";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63370";"622320";"6223-20";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63380";"622305";"6223-05";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63390";"612310";"6123-10";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63390";"622020";"6220-20";"6114";"Agricultores y trabajadores calificados de cultivos mixtos"
"63390";"622315";"6223-15";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63390";"622320";"6223-20";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63390";"622505";"6225-05";"6114";"Agricultores y trabajadores calificados de cultivos mixtos"
"63410";"622425";"6224-25";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63420";"622425";"6224-25";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63490";"622425";"6224-25";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"63510";"622505";"6225-05";"6114";"Agricultores y trabajadores calificados de cultivos mixtos"
"63520";"622505";"6225-05";"6114";"Agricultores y trabajadores calificados de cultivos mixtos"
"63530";"622505";"6225-05";"6114";"Agricultores y trabajadores calificados de cultivos mixtos"
"63540";"622505";"6225-05";"6114";"Agricultores y trabajadores calificados de cultivos mixtos"
"63550";"622515";"6225-15";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63560";"622505";"6225-05";"6114";"Agricultores y trabajadores calificados de cultivos mixtos"
"63570";"622505";"6225-05";"6114";"Agricultores y trabajadores calificados de cultivos mixtos"
"63580";"622505";"6225-05";"6114";"Agricultores y trabajadores calificados de cultivos mixtos"
"63590";"622505";"6225-05";"6114";"Agricultores y trabajadores calificados de cultivos mixtos"
"63590";"622515";"6225-15";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63620";"622610";"6226-10";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63625";"622610";"6226-10";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63630";"622605";"6226-05";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63640";"622615";"6226-15";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63650";"622805";"6228-05";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63660";"622620";"6226-20";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63690";"622620";"6226-20";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63690";"622805";"6228-05";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63690";"632340";"6323-40";"6141";"Taladores y otros trabajadores forestales"
"63720";"622730";"6227-30";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63730";"622705";"6227-05";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63740";"622725";"6227-25";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63750";"622715";"6227-15";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63760";"622720";"6227-20";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63790";"622725";"6227-25";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63790";"622730";"6227-30";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63790";"622735";"6227-35";"6112";"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"63790";"632215";"6322-15";"6141";"Taladores y otros trabajadores forestales"
"63890";"632340";"6323-40";"6141";"Taladores y otros trabajadores forestales"
