"CBO94";"CBO2002";"cbo";"CIUo88";"titulo"
"24990";"373205";NA;NA;NA
"30190";"342410";NA;NA;NA
"30190";"910105";NA;NA;NA
"35130";"342410";NA;NA;NA
"35140";"342410";NA;NA;NA
"35190";"342410";NA;NA;NA
"35490";"342410";NA;NA;NA
"39125";"410220";"4102-20";"4131";"Empleados de control de abastecimientos inventario"
"39130";"414105";"4141-05";"4131";"Empleados de control de abastecimientos inventario"
"39135";"414105";"4141-05";"4131";"Empleados de control de abastecimientos inventario"
"39140";"414110";"4141-10";"4131";"Empleados de control de abastecimientos inventario"
"39145";"414105";"4141-05";"4131";"Empleados de control de abastecimientos inventario"
"39146";"414105";"4141-05";"4131";"Empleados de control de abastecimientos inventario"
"39150";"414115";"4141-15";"4131";"Empleados de control de abastecimientos inventario"
"39190";"141615";"1416-15";"1226";"Directores de departamentos de producción y operaciones, transporte, almacenamiento y comunicaciones"
"39190";"313415";"3134-15";"3114";"Técnicos en electrónica y telecomunicaciones"
"39190";"342210";"3422-10";"3422";"Declarantes o gestores de aduana"
"39190";"342315";"3423-15";"4133";"Empleados de servicios de transporte"
"39190";"354205";"3542-05";"3416";"Compradores"
"39190";"391115";"3911-15";"3119";"Técnicos en ciencias físicas y químicas y en ingeniería, no clasificados bajo otros epígrafes"
"39190";"410105";"4101-05";"4122";"Empleados de servicios estadísticos y financieros"
"39190";"410205";"4102-05";"4131";"Empleados de control de abastecimientos inventario"
"39190";"414105";"4141-05";"4131";"Empleados de control de abastecimientos inventario"
"39190";"414110";"4141-10";"4131";"Empleados de control de abastecimientos inventario"
"39190";"414115";"4141-15";"4131";"Empleados de control de abastecimientos inventario"
"39190";"414210";"4142-10";"4132";"Empleados de servicios de apoyo a la producción"
"39190";"414215";"4142-15";"4132";"Empleados de servicios de apoyo a la producción"
"39190";"423105";"4231-05";"4211";"Cajeros y expendedores de billetes"
"39190";"511210";"5112-10";"5112";"Revisores, guardas y cobradores de los transportes públicos"
"39190";"514210";NA;NA;NA
"39190";"519110";"5191-10";"8321";"Conductores de motocicletas"
"39190";"521125";"5211-25";"5220";"Vendedores y demostradores de tiendas y almacenes"
"39190";"783225";"7832-25";"9333";"Peones de carga"
"39190";"784110";"7841-10";"8290";"Otros operadores de máquinas y montadores"
"39190";"784205";"7842-05";"9321";"Peones de montaje"
"39310";"411005";"4110-05";"4121";"Empleados de contabilidad y cálculo de costos"
"39315";"413225";"4132-25";"4122";"Empleados de servicios estadísticos y financieros"
"39325";"354125";"3541-25";"3415";"Representantes comerciales y técnicos de ventas"
"39330";"411030";"4110-30";"4121";"Empleados de contabilidad y cálculo de costos"
"39340";"351430";"3514-30";"3432";"Profesionales de nivel medio del derecho y servicios legales o afines"
"39360";"414205";"4142-05";"4132";"Empleados de servicios de apoyo a la producción"
"39370";"414210";"4142-10";"4132";"Empleados de servicios de apoyo a la producción"
"39380";"411045";"4110-45";"4121";"Empleados de contabilidad y cálculo de costos"
"39385";"342210";"3422-10";"3422";"Declarantes o gestores de aduana"
"39390";"342105";"3421-05";"3119";"Técnicos en ciencias físicas y químicas y en ingeniería, no clasificados bajo otros epígrafes"
"39390";"342205";"3422-05";"3422";"Declarantes o gestores de aduana"
"39390";"351505";"3515-05";"4115";"Secretarios"
"39390";"354145";"3541-45";"3415";"Representantes comerciales y técnicos de ventas"
"39390";"372210";"3722-10";"3132";"Operadores de equipos de radiodifusión, televisión y telecomunicaciones"
"39390";"410105";"4101-05";"4122";"Empleados de servicios estadísticos y financieros"
"39390";"411005";"4110-05";"4121";"Empleados de contabilidad y cálculo de costos"
"39390";"411010";"4110-10";"4121";"Empleados de contabilidad y cálculo de costos"
"39390";"411030";"4110-30";"4121";"Empleados de contabilidad y cálculo de costos"
"39390";"411045";"4110-45";"4121";"Empleados de contabilidad y cálculo de costos"
"39390";"412105";"4121-05";"4112";"Operadores de máquinas de tratamiento de textos y afines"
"39390";"413110";"4131-10";"4121";"Empleados de contabilidad y cálculo de costos"
"39390";"414105";"4141-05";"4131";"Empleados de control de abastecimientos inventario"
"39390";"414205";"4142-05";"4132";"Empleados de servicios de apoyo a la producción"
"39390";"414210";"4142-10";"4132";"Empleados de servicios de apoyo a la producción"
"39390";"422105";"4221-05";"4222";"Recepcionistas y empleados de informaciones"
"39390";"423105";"4231-05";"4211";"Cajeros y expendedores de billetes"
"39390";"784205";"7842-05";"9321";"Peones de montaje"
"39410";"422105";"4221-05";"4222";"Recepcionistas y empleados de informaciones"
"39415";"422125";"4221-25";"4222";"Recepcionistas y empleados de informaciones"
"39417";"420125";"4201-25";"4222";"Recepcionistas y empleados de informaciones"
"39420";"422120";"4221-20";"4222";"Recepcionistas y empleados de informaciones"
"39430";"422110";"4221-10";"4222";"Recepcionistas y empleados de informaciones"
"39435";"422115";"4221-15";"4222";"Recepcionistas y empleados de informaciones"
"39490";"420135";"4201-35";"4222";"Recepcionistas y empleados de informaciones"
"39490";"422105";"4221-05";"4222";"Recepcionistas y empleados de informaciones"
"39490";"422110";"4221-10";"4222";"Recepcionistas y empleados de informaciones"
"39490";"422120";"4221-20";"4222";"Recepcionistas y empleados de informaciones"
"39520";"371105";"3711-05";"3431";"Profesionales de nivel medio de servicios administrativos y afines"
"39530";"415105";"4151-05";"4141";"Empleados de bibliotecas y archivos"
"39540";"415120";"4151-20";"4141";"Empleados de bibliotecas y archivos"
"39590";"261305";"2613-05";"2431";"Archiveros y conservadores de museos"
"39915";"414210";"4142-10";"4132";"Empleados de servicios de apoyo a la producción"
"39917";"391215";"3912-15";"3152";"Inspectores de seguridad y salud y control de calidad"
"39930";"415115";"4151-15";"4143";"Codificadores de datos, correctores de pruebas de imprenta y afines"
"39935";"519940";"5199-40";"9153";"Recolectores de dinero en aparatos de venta automática, lectores de medidores y afines"
"39960";"415125";"4151-25";"4141";"Empleados de bibliotecas y archivos"
"39965";"415115";"4151-15";"4143";"Codificadores de datos, correctores de pruebas de imprenta y afines"
"39970";"412205";"4122-05";"4190";"Otros oficinistas"
"39975";"414105";"4141-05";"4131";"Empleados de control de abastecimientos inventario"
"39990";"411005";"4110-05";"4121";"Empleados de contabilidad y cálculo de costos"
"39990";"411025";"4110-25";"4121";"Empleados de contabilidad y cálculo de costos"
"39990";"412205";"4122-05";"4190";"Otros oficinistas"
"39990";"414110";"4141-10";"4131";"Empleados de control de abastecimientos inventario"
"39990";"415105";"4151-05";"4141";"Empleados de bibliotecas y archivos"
"39990";"415115";"4151-15";"4143";"Codificadores de datos, correctores de pruebas de imprenta y afines"
"39990";"415125";"4151-25";"4141";"Empleados de bibliotecas y archivos"
"39990";"421310";"4213-10";"4215";"Cobradores y afines"
"39990";"422315";"4223-15";"9113";"Vendedores a domicilio y por teléfono"
"39990";"521110";"5211-10";"5220";"Vendedores y demostradores de tiendas y almacenes"
"41020";"141405";"1414-05";"1314";"Gerentes de comercios mayoristas y minoristas"
"41030";"141410";"1414-10";"1314";"Gerentes de comercios mayoristas y minoristas"
"41090";"141405";"1414-05";"1314";"Gerentes de comercios mayoristas y minoristas"
"41090";"141410";"1414-10";"1314";"Gerentes de comercios mayoristas y minoristas"
"41090";"142305";"1423-05";"1233";"Directores de departamentos de ventas y comercialización"
"41090";"751125";"7511-25";"7313";"Joyeros, orfebres y plateros"
"42120";"520110";"5201-10";"3415";"Representantes comerciales y técnicos de ventas"
"42130";"520110";"5201-10";"3415";"Representantes comerciales y técnicos de ventas"
"42140";"521115";"5211-15";"5220";"Vendedores y demostradores de tiendas y almacenes"
"42150";"141415";"1414-15";"1314";"Gerentes de comercios mayoristas y minoristas"
"42190";"142320";"1423-20";"1233";"Directores de departamentos de ventas y comercialización"
"42190";"354110";NA;NA;NA
"42190";"354120";"3541-20";"3415";"Representantes comerciales y técnicos de ventas"
"42190";"354125";"3541-25";"3415";"Representantes comerciales y técnicos de ventas"
"42190";"354130";"3541-30";"3415";"Representantes comerciales y técnicos de ventas"
"42190";"354210";"3542-10";"3416";"Compradores"
"42190";"411005";"4110-05";"4121";"Empleados de contabilidad y cálculo de costos"
"42190";"520110";"5201-10";"3415";"Representantes comerciales y técnicos de ventas"
"42190";"521110";"5211-10";"5220";"Vendedores y demostradores de tiendas y almacenes"
"42215";"354210";"3542-10";"3416";"Compradores"
"42220";"354205";"3542-05";"3416";"Compradores"
"42230";"354205";"3542-05";"3416";"Compradores"
"42290";"141410";"1414-10";"1314";"Gerentes de comercios mayoristas y minoristas"
"42290";"354205";"3542-05";"3416";"Compradores"
"42290";"354210";"3542-10";"3416";"Compradores"
"42290";"411005";"4110-05";"4121";"Empleados de contabilidad y cálculo de costos"
"42290";"411040";"4110-40";"4121";"Empleados de contabilidad y cálculo de costos"
"43120";"354135";"3541-35";"3415";"Representantes comerciales y técnicos de ventas"
"43130";"354135";"3541-35";"3415";"Representantes comerciales y técnicos de ventas"
"43190";"141410";"1414-10";"1314";"Gerentes de comercios mayoristas y minoristas"
"43190";"142320";"1423-20";"1233";"Directores de departamentos de ventas y comercialización"
"43190";"354110";NA;NA;NA
"43190";"354120";"3541-20";"3415";"Representantes comerciales y técnicos de ventas"
"43220";"354145";"3541-45";"3415";"Representantes comerciales y técnicos de ventas"
"43230";"354705";"3547-05";"3421";"Agentes de compras y consignatarios"
"43240";"354110";NA;NA;NA
"43290";"141410";"1414-10";"1314";"Gerentes de comercios mayoristas y minoristas"
"43290";"354110";NA;NA;NA
"43290";"354120";"3541-20";"3415";"Representantes comerciales y técnicos de ventas"
"43290";"354135";"3541-35";"3415";"Representantes comerciales y técnicos de ventas"
"43290";"354140";"3541-40";"3415";"Representantes comerciales y técnicos de ventas"
"43290";"354145";"3541-45";"3415";"Representantes comerciales y técnicos de ventas"
"43290";"354705";"3547-05";"3421";"Agentes de compras y consignatarios"
"43290";"521110";"5211-10";"5220";"Vendedores y demostradores de tiendas y almacenes"
"43290";"521120";"5211-20";"5220";"Vendedores y demostradores de tiendas y almacenes"
"44120";"354505";"3545-05";"3412";"Agentes de seguros"
"44130";"354605";"3546-05";"3413";"Agentes inmobiliarios"
"44140";"253305";"2533-05";"3411";"Agentes de bolsa, cambio y otros servicios financieros"
"44190";"141410";"1414-10";"1314";"Gerentes de comercios mayoristas y minoristas"
"44190";"253305";"2533-05";"3411";"Agentes de bolsa, cambio y otros servicios financieros"
"44190";"521110";"5211-10";"5220";"Vendedores y demostradores de tiendas y almacenes"
"44220";"354120";"3541-20";"3415";"Representantes comerciales y técnicos de ventas"
"44230";"354110";NA;NA;NA
"44290";"253115";"2531-15";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"44290";"354110";NA;NA;NA
"44290";"354120";"3541-20";"3415";"Representantes comerciales y técnicos de ventas"
"44290";"354135";"3541-35";"3415";"Representantes comerciales y técnicos de ventas"
"44320";"354405";"3544-05";"3417";"Tasadores y subastadores"
"44330";"354415";"3544-15";"3417";"Tasadores y subastadores"
"44340";"354410";"3544-10";"3417";"Tasadores y subastadores"
"44350";"351730";"3517-30";"3412";"Agentes de seguros"
"44390";"354415";"3544-15";"3417";"Tasadores y subastadores"
"45120";"521105";"5211-05";"5220";"Vendedores y demostradores de tiendas y almacenes"
"45130";"521110";"5211-10";"5220";"Vendedores y demostradores de tiendas y almacenes"
"45160";"521135";"5211-35";"5220";"Vendedores y demostradores de tiendas y almacenes"
"45170";"521130";"5211-30";"5220";"Vendedores y demostradores de tiendas y almacenes"
"45190";"141405";"1414-05";"1314";"Gerentes de comercios mayoristas y minoristas"
"45190";"141410";"1414-10";"1314";"Gerentes de comercios mayoristas y minoristas"
"45190";"354120";"3541-20";"3415";"Representantes comerciales y técnicos de ventas"
"45190";"354125";"3541-25";"3415";"Representantes comerciales y técnicos de ventas"
"45190";"520110";"5201-10";"3415";"Representantes comerciales y técnicos de ventas"
"45190";"521110";"5211-10";"5220";"Vendedores y demostradores de tiendas y almacenes"
"45190";"521125";"5211-25";"5220";"Vendedores y demostradores de tiendas y almacenes"
"45190";"751125";"7511-25";"7313";"Joyeros, orfebres y plateros"
"45190";"768125";"7681-25";"7432";"Tejedores con telares o de tejidos de punto afines"
"45190";"784115";"7841-15";"8290";"Otros operadores de máquinas y montadores"
"45220";"524305";"5243-05";"9112";"Vendedores ambulantes de productos no comestibles"
"45230";"524105";"5241-05";"9113";"Vendedores a domicilio y por teléfono"
"45240";"524210";"5242-10";"9112";"Vendedores ambulantes de productos no comestibles"
