"CBO94";"CBO2002";"cbo";"CIUo88";"titulo"
"76190";"760125";"7601-25";"8269";"Operadores de máquinas para fabricar productos textiles y artículos de piel y cuero, no clasificados bajo otros epígrafes"
"76190";"762005";"7620-05";"7441";"Apelambradores, pellejeros y curtidores"
"76190";"762205";"7622-05";"7441";"Apelambradores, pellejeros y curtidores"
"76190";"762210";"7622-10";"7441";"Apelambradores, pellejeros y curtidores"
"76190";"762215";"7622-15";"7441";"Apelambradores, pellejeros y curtidores"
"76190";"762305";"7623-05";"7441";"Apelambradores, pellejeros y curtidores"
"76190";"762310";"7623-10";"7441";"Apelambradores, pellejeros y curtidores"
"76190";"762315";"7623-15";"7441";"Apelambradores, pellejeros y curtidores"
"76190";"762325";"7623-25";"8265";"Operadores de máquinas de tratamiento de pieles y cueros"
"76190";"762330";"7623-30";"7441";"Apelambradores, pellejeros y curtidores"
"76190";"762340";"7623-40";"7441";"Apelambradores, pellejeros y curtidores"
"76190";"765105";"7651-05";"7442";"Zapateros y afines"
"77110";"841115";"8411-15";"8273";"Operadores de máquinas para moler cereales y especias"
"77120";"841105";"8411-05";"8273";"Operadores de máquinas para moler cereales y especias"
"77130";"841115";"8411-15";"8273";"Operadores de máquinas para moler cereales y especias"
"77140";"841110";"8411-10";"8273";"Operadores de máquinas para moler cereales y especias"
"77190";"622315";"6223-15";"6113";"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
"77190";"784205";"7842-05";"9321";"Peones de montaje"
"77190";"841105";"8411-05";"8273";"Operadores de máquinas para moler cereales y especias"
"77190";"841110";"8411-10";"8273";"Operadores de máquinas para moler cereales y especias"
"77190";"841115";"8411-15";"8273";"Operadores de máquinas para moler cereales y especias"
"77220";"841315";"8413-15";"8276";"Operadores de máquinas para fabricar azúcares"
"77240";"841320";"8413-20";"8276";"Operadores de máquinas para fabricar azúcares"
"77250";"841305";"8413-05";"8276";"Operadores de máquinas para fabricar azúcares"
"77260";"841310";"8413-10";"8276";"Operadores de máquinas para fabricar azúcares"
"77290";"841305";"8413-05";"8276";"Operadores de máquinas para fabricar azúcares"
"77290";"841310";"8413-10";"8276";"Operadores de máquinas para fabricar azúcares"
"77290";"841315";"8413-15";"8276";"Operadores de máquinas para fabricar azúcares"
"77290";"841320";"8413-20";"8276";"Operadores de máquinas para fabricar azúcares"
"77310";"848520";"8485-20";"7411";"Carniceros, pescaderos y afines"
"77315";"848505";"8485-05";"7411";"Carniceros, pescaderos y afines"
"77325";"848515";"8485-15";"7411";"Carniceros, pescaderos y afines"
"77335";"848525";"8485-25";"7411";"Carniceros, pescaderos y afines"
"77390";"848505";"8485-05";"7411";"Carniceros, pescaderos y afines"
"77390";"848510";"8485-10";"7411";"Carniceros, pescaderos y afines"
"77390";"848515";"8485-15";"7411";"Carniceros, pescaderos y afines"
"77390";"848520";"8485-20";"7411";"Carniceros, pescaderos y afines"
"77390";"848525";"8485-25";"7411";"Carniceros, pescaderos y afines"
"77410";"841408";"8414-08";"8271";"Operadores de máquinas para elaborar carne, pescado y mariscos"
"77415";"841428";"8414-28";"8271";"Operadores de máquinas para elaborar carne, pescado y mariscos"
"77420";"841440";"8414-40";"8275";"Operadores de máquinas para elaborar frutos húmedos y secos y hortalizas"
"77425";"841420";"8414-20";"8275";"Operadores de máquinas para elaborar frutos húmedos y secos y hortalizas"
"77430";"841456";"8414-56";"8271";"Operadores de máquinas para elaborar carne, pescado y mariscos"
"77440";"841432";"8414-32";"8275";"Operadores de máquinas para elaborar frutos húmedos y secos y hortalizas"
"77445";"841416";"8414-16";"8271";"Operadores de máquinas para elaborar carne, pescado y mariscos"
"77450";"848110";"8481-10";"7411";"Carniceros, pescaderos y afines"
"77460";"848105";"8481-05";"7411";"Carniceros, pescaderos y afines"
"77470";"848115";"8481-15";"7411";"Carniceros, pescaderos y afines"
"77480";"841484";"8414-84";"8271";"Operadores de máquinas para elaborar carne, pescado y mariscos"
"77490";"784110";"7841-10";"8290";"Otros operadores de máquinas y montadores"
"77490";"784115";"7841-15";"8290";"Otros operadores de máquinas y montadores"
"77490";"840120";"8401-20";"7412";"Panaderos, pasteleros y confiteros"
"77490";"841115";"8411-15";"8273";"Operadores de máquinas para moler cereales y especias"
"77490";"841320";"8413-20";"8276";"Operadores de máquinas para fabricar azúcares"
