"CBO94";"CBO2002";"cbo";"CIUo88";"titulo"
NA;"373110";NA;NA;NA
NA;"373115";NA;NA;NA
NA;"373215";NA;NA;NA
NA;"782115";"7821-15";"8333";"Operadores de grúas, de aparatos elevadores y afines"
NA;"782140";"7821-40";"8333";"Operadores de grúas, de aparatos elevadores y afines"
NA;"782125";"7821-25";"8333";"Operadores de grúas, de aparatos elevadores y afines"
NA;"782205";"7822-05";"8333";"Operadores de grúas, de aparatos elevadores y afines"
NA;"782145";"7821-45";"8333";"Operadores de grúas, de aparatos elevadores y afines"
NA;"782120";"7821-20";"8333";"Operadores de grúas, de aparatos elevadores y afines"
NA;"782605";"7826-05";"8311";"Maquinistas de locomotoras"
NA;"715125";"7151-25";"8332";"Operadores de máquinas de movimiento de tierras y afines"
NA;"715115";"7151-15";"8332";"Operadores de máquinas de movimiento de tierras y afines"
NA;"715135";"7151-35";"8332";"Operadores de máquinas de movimiento de tierras y afines"
NA;"715120";"7151-20";"8332";"Operadores de máquinas de movimiento de tierras y afines"
NA;"715145";"7151-45";"8332";"Operadores de máquinas de movimiento de tierras y afines"
NA;"782105";"7821-05";"8333";"Operadores de grúas, de aparatos elevadores y afines"
NA;"715105";"7151-05";"8332";"Operadores de máquinas de movimiento de tierras y afines"
NA;"715130";"7151-30";"8332";"Operadores de máquinas de movimiento de tierras y afines"
NA;"715110";"7151-10";"8332";"Operadores de máquinas de movimiento de tierras y afines"
NA;"715405";"7154-05";"8212";"Operadores de máquinas para fabricar cemento y otros productos minerales"
NA;"715410";"7154-10";"8212";"Operadores de máquinas para fabricar cemento y otros productos minerales"
NA;"715415";"7154-15";"8212";"Operadores de máquinas para fabricar cemento y otros productos minerales"
NA;"717025";"7170-25";"9313";"Peones de la construcción de edificios"
NA;"782610";"7826-10";"8311";"Maquinistas de locomotoras"
NA;"782630";"7826-30";"8311";"Maquinistas de locomotoras"
NA;"782705";"7827-05";"8340";"Marineros de cubierta y afines"
NA;"215135";"2151-35";"3142";"Capitanes, oficiales de cubierta y prácticos"
NA;"215145";"2151-45";"3142";"Capitanes, oficiales de cubierta y prácticos"
NA;"862110";"8621-10";"8162";"Operadores de máquinas de vapor y calderas"
NA;"919115";"9191-15";"7233";"Mecánicos y ajustadores de máquinas agrícolas e industriales"
NA;"720110";"7201-10";"7222";"Herramentistas y afines"
NA;"782710";"7827-10";"8340";"Marineros de cubierta y afines"
NA;"782615";"7826-15";"8311";"Maquinistas de locomotoras"
NA;"783110";"7831-10";"8312";"Guardafrenos, guardagujas y agentes de maniobras"
NA;"783105";"7831-05";"8312";"Guardafrenos, guardagujas y agentes de maniobras"
NA;"782305";"7823-05";"8322";"Conductores de automóviles, taxis y camionetas"
NA;"782620";"7826-20";"8311";"Maquinistas de locomotoras"
NA;"782315";"7823-15";"8322";"Conductores de automóviles, taxis y camionetas"
NA;"782410";"7824-10";"8323";"Conductores de autobuses y tranvías"
NA;"782310";"7823-10";"8322";"Conductores de automóviles, taxis y camionetas"
NA;"782510";"7825-10";"8324";"Conductores de camiones pesados"
NA;"782505";"7825-05";"8324";"Conductores de camiones pesados"
NA;"782415";"7824-15";"8323";"Conductores de autobuses y tranvías"
NA;"782515";"7825-15";"8322";"Conductores de automóviles, taxis y camionetas"
NA;"782805";"7828-05";"9332";"Conductores de vehículos y máquinas de tracción animal"
NA;"782810";"7828-10";"9332";"Conductores de vehículos y máquinas de tracción animal"
NA;"782210";"7822-10";"8333";"Operadores de grúas, de aparatos elevadores y afines"
NA;"782820";"7828-20";"9332";"Conductores de vehículos y máquinas de tracción animal"
NA;"516610";"5166-10";"9312";"Peones de obras públicas y mantenimiento: carreteras, presas y obras similares"
