"CBO94";"CBO2002";"cbo";"CIUo88";"titulo"
"89190";"823245";"8232-45";"8131";"Operadores de homos de vidriería y cerámica y operadores de máquinas afines"
"89210";"752305";"7523-05";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89215";"752320";"7523-20";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89220";"752325";"7523-25";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89225";"752310";"7523-10";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89230";"752315";"7523-15";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89240";"828110";"8281-10";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89243";"828105";"8281-05";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89250";"752330";"7523-30";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89255";"752330";"7523-30";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89290";"752305";"7523-05";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89290";"752320";"7523-20";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89290";"752325";"7523-25";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89290";"752330";"7523-30";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89290";"752405";"7524-05";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89290";"752430";"7524-30";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89290";"820205";"8202-05";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89290";"823115";"8231-15";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89290";"828110";"8281-10";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89320";"823215";"8232-15";"8131";"Operadores de homos de vidriería y cerámica y operadores de máquinas afines"
"89330";"823220";"8232-20";"8131";"Operadores de homos de vidriería y cerámica y operadores de máquinas afines"
"89340";"823255";"8232-55";"8131";"Operadores de homos de vidriería y cerámica y operadores de máquinas afines"
"89350";"823255";"8232-55";"8131";"Operadores de homos de vidriería y cerámica y operadores de máquinas afines"
"89360";"823315";"8233-15";"8131";"Operadores de homos de vidriería y cerámica y operadores de máquinas afines"
"89390";"752305";"7523-05";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89390";"820120";"8201-20";"8122";"Operadores de homos de segunda fusión, máquinas de colar y moldear metales y trenes de laminación"
"89390";"823215";"8232-15";"8131";"Operadores de homos de vidriería y cerámica y operadores de máquinas afines"
"89420";"752220";"7522-20";"7323";"Grabadores de vidrio"
"89430";"752215";"7522-15";"7323";"Grabadores de vidrio"
"89440";"752225";"7522-25";"7323";"Grabadores de vidrio"
"89490";"752205";"7522-05";"7322";"Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio"
"89490";"752220";"7522-20";"7323";"Grabadores de vidrio"
"89520";"752415";"7524-15";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89530";"752430";"7524-30";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89540";"752405";"7524-05";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89550";"752420";"7524-20";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89555";"752410";"7524-10";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89560";"752420";"7524-20";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89570";"752425";"7524-25";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89590";"752405";"7524-05";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89590";"752410";"7524-10";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89590";"752430";"7524-30";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89920";"823110";"8231-10";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89930";"823115";"8231-15";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89940";"823120";"8231-20";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89950";"823125";"8231-25";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89960";"823105";"8231-05";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89970";"823210";"8232-10";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89990";"716305";"7163-05";"7135";"Cristaleros"
"89990";"752320";"7523-20";"7321";"Alfareros y afines (barro, arcilla y abrasivos)"
"89990";"752410";"7524-10";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89990";"752420";"7524-20";"7324";"Pintores decoradores de vidrio, cerámica y otros materiales"
"89990";"784205";"7842-05";"9321";"Peones de montaje"
"89990";"820205";"8202-05";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89990";"823105";"8231-05";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89990";"823110";"8231-10";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89990";"823115";"8231-15";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89990";"823125";"8231-25";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"89990";"823210";"8232-10";"8139";"Operadores de instalaciones de vidriería, cerámica y afines, no clasificados bajo otros epígrafes"
"90120";"811705";"8117-05";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90125";"811710";"8117-10";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90130";"811775";"8117-75";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90135";"811750";"8117-50";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90140";"811710";"8117-10";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90190";"810205";"8102-05";"8232";"Operadores de máquinas para fabricar productos de material plástico"
"90190";"811710";"8117-10";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90190";"811750";"8117-50";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90190";"811775";"8117-75";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90220";"811715";"8117-15";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90230";"811715";"8117-15";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90240";"992115";"9921-15";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90290";"810205";"8102-05";"8232";"Operadores de máquinas para fabricar productos de material plástico"
"90290";"811715";"8117-15";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90290";"811750";"8117-50";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90290";"811775";"8117-75";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90290";"992115";"9921-15";"8231";"Operadores de máquinas para fabricar productos de caucho"
"90320";"811770";"8117-70";"8232";"Operadores de máquinas para fabricar productos de material plástico"
"90330";"811760";"8117-60";"8232";"Operadores de máquinas para fabricar productos de material plástico"
"90340";"811745";"8117-45";"8232";"Operadores de máquinas para fabricar productos de material plástico"
"90350";"811760";"8117-60";"8232";"Operadores de máquinas para fabricar productos de material plástico"
"90360";"811760";"8117-60";"8232";"Operadores de máquinas para fabricar productos de material plástico"
"90390";"810205";"8102-05";"8232";"Operadores de máquinas para fabricar productos de material plástico"
"90390";"811745";"8117-45";"8232";"Operadores de máquinas para fabricar productos de material plástico"
"90390";"811760";"8117-60";"8232";"Operadores de máquinas para fabricar productos de material plástico"
"90390";"821330";"8213-30";"8122";"Operadores de homos de segunda fusión, máquinas de colar y moldear metales y trenes de laminación"
"91020";"833205";"8332-05";"8286";"Montadores de productos de cartón, textiles y materiales afines"
"91030";"833105";"8331-05";"8253";"Operadores de máquinas para fabricar productos de papel"
"91050";"833120";"8331-20";"8253";"Operadores de máquinas para fabricar productos de papel"
"91060";"833125";"8331-25";"8253";"Operadores de máquinas para fabricar productos de papel"
"91070";"833110";"8331-10";"8253";"Operadores de máquinas para fabricar productos de papel"
"91080";"833115";"8331-15";"8253";"Operadores de máquinas para fabricar productos de papel"
"91090";"766315";"7663-15";"7345";"Encuadernadores y afines"
"91090";"832125";"8321-25";"8143";"Operadores de instalaciones para la fabricación de papel"
"91090";"833105";"8331-05";"8253";"Operadores de máquinas para fabricar productos de papel"
"91090";"833110";"8331-10";"8253";"Operadores de máquinas para fabricar productos de papel"
"91090";"833205";"8332-05";"8286";"Montadores de productos de cartón, textiles y materiales afines"
"92110";"768605";"7686-05";"7341";"Cajistas, tipógrafos y afines"
"92115";"766145";"7661-45";"7341";"Cajistas, tipógrafos y afines"
"92120";"768615";"7686-15";"7341";"Cajistas, tipógrafos y afines"
