ano,cbo2002,empregados,renda_sm
1986,232150,4859,12848.31
1986,232155,7569,17142.61
1986,232160,481,849.73
1986,232165,6074,13737.76
1986,233110,12389,55631.14
1986,233115,169,932.69
1986,233120,5366,10430.62
1986,233125,243,339.48
1986,233130,496,2477.99
1986,233135,358,1246.15
1986,233205,249,922.37
1986,233210,6635,53510.34
1986,233215,1875,10798.34
1986,234105,2731,23611.37
1986,234110,1426,11228.68
1986,234115,675,4106.3
1986,234125,82,508.55
1986,234205,670,5679.85
1986,234210,886,7635.61
1986,234215,59,624.28
1986,234305,295,2464.81
1986,234310,10233,82231.64
1986,234315,8729,59592.62
1986,234320,126,901.49
1986,234405,17658,181750.12
1986,234410,890,6005.15
1986,234415,816,6113.7
1986,234420,134,1039.56
1986,234425,183,1133.45
1986,234435,990,8122.22
1986,234505,35216,406026.88
1986,234510,698,3650.77
1986,234515,14543,68065.18
1986,234520,364,1829.97
1986,234604,3073,20303.93
1986,234616,1972,6394.53
1986,234624,1441,7719.21
1986,234648,305,1505.96
1986,234672,137,569.69
1986,234676,317,1733.79
1986,234705,120,725.48
1986,234720,150,838.53
1986,234730,2178,10425.92
1986,234735,665,4214.32
1986,234740,419,2904.78
1986,234745,816,4985.11
1986,234760,2097,9890.16
1986,234770,630,3476.54
1986,234805,7619,40719.92
1986,234810,1493,8274.33
1986,234815,980,4084.67
1986,234910,205,2123.5
1986,239205,89,341.18
1986,239210,2899,6582.23
1986,239215,1588,3106.7
1986,239225,64,141.57
1986,239405,4304,24834.68
1986,239410,7813,41922.26
1986,239415,1,5.44
1986,239420,1477,4699.6
1986,239430,11646,73302.47
1986,241005,22352,311953.76
1986,241010,874,11776.85
1986,241015,270,2673.77
1986,241020,309,4560.91
1986,241025,51,333.16
1986,241030,112,1469.7
1986,241035,1322,12104.54
1986,241040,7035,125624.06
1986,241210,1297,26677.63
1986,241215,237,4309.3
1986,241335,220,1433.67
1986,242305,2617,57342.66
1986,251105,47,420.44
1986,251110,1,4.3
1986,251115,14,237.43
1986,251120,1355,15725.32
1986,251205,11762,194635.1
1986,251210,33,305.54
1986,251215,3332,53338.62
1986,251225,42267,559392.33
1986,251305,527,5538.8
1986,251405,1045,9211.14
1986,251505,4223,24666.22
1986,251510,4679,33535.26
1986,251525,17,42.52
1986,251535,6,23.24
1986,251540,2144,20453.65
1986,251550,4552,15996.39
1986,251605,30786,214361.56
1986,251610,111,979.77
1986,252105,207048,2460835.82
1986,252205,21854,240820.59
1986,252210,125572,821774.5
1986,252305,702,2501.68
1986,252310,71378,372693.83
1986,252405,6547,73825.95
1986,252510,37,91.37
1986,253105,2703,21470.31
1986,253110,8242,75695.66
1986,253115,4291,37914.35
1986,253120,1,1.87
1986,253125,6,35.59
1986,253305,3580,36094.6
1986,254405,10425,158763.37
1986,254415,2944,23584.76
1986,261115,634,7582.59
1986,261120,947,6197.17
1986,261125,3291,30546.15
1986,261135,4336,34779.67
1986,261140,262,2326.28
1986,261205,6265,56659.88
1986,261210,235,1551.72
1986,261305,40647,168380.3
1986,261310,66904,139691.99
1986,261405,16,68.47
1986,261410,190,1615.29
1986,261420,920,7546.33
1986,261505,223,1341.9
1986,261510,953,2504.15
1986,261515,140,672.15
1986,261530,332,3385.65
1986,261610,106,1323.66
1986,261710,2977,10899.97
1986,261715,4848,15618.14
1986,261805,5124,20818.81
1986,261810,94,574.73
1986,261815,208,400.6
1986,261820,733,5497.64
1986,262105,2353,14766.97
1986,262110,39,358.41
