ano,cbo2002,empregados
2006,111320,60
2007,111320,101
2008,111320,104
2009,111320,102
2010,111320,116
2011,111320,115
2012,111320,115
2013,111320,122
2014,111320,121
2015,111320,206
2016,111320,214
1986,111325,394
1987,111325,398
1988,111325,339
1989,111325,570
1990,111325,660
1991,111325,874
1992,111325,377
1993,111325,530
1994,111325,344
1995,111325,255
1996,111325,341
1997,111325,348
1998,111325,347
1999,111325,372
2000,111325,328
2001,111325,310
2002,111325,308
2003,111325,7045
2004,111325,7746
2005,111325,8836
2006,111325,8566
2007,111325,8781
2008,111325,8956
2009,111325,8872
2010,111325,9166
2011,111325,9331
2012,111325,9321
2013,111325,9563
2014,111325,9782
2015,111325,9784
2016,111325,10379
1986,111330,352
1987,111330,318
1988,111330,375
1989,111330,521
1990,111330,402
1991,111330,1387
1992,111330,497
1993,111330,669
1994,111330,791
1995,111330,852
1996,111330,967
1997,111330,936
1998,111330,1016
1999,111330,1088
2000,111330,1146
2001,111330,1359
2002,111330,1455
2003,111330,1171
2004,111330,1205
2005,111330,1466
2006,111330,1540
2007,111330,1527
2008,111330,1589
2009,111330,1408
2010,111330,1555
2011,111330,1679
2012,111330,1741
2013,111330,1851
2014,111330,1796
2015,111330,1886
2016,111330,1865
2003,111335,40
2004,111335,37
2005,111335,35
2006,111335,37
2007,111335,38
2008,111335,40
2009,111335,37
2010,111335,38
2011,111335,36
2012,111335,37
2013,111335,33
2014,111335,32
2015,111335,39
2016,111335,40
1986,111340,2820
1987,111340,2924
1988,111340,3183
1989,111340,3722
1990,111340,3288
1991,111340,4967
1992,111340,5109
1993,111340,5924
1994,111340,4101
1995,111340,5530
1996,111340,5748
1997,111340,4721
1998,111340,6027
1999,111340,6401
2000,111340,6643
2001,111340,6767
2002,111340,6936
2003,111340,1100
2004,111340,178
2005,111340,29
2006,111340,31
2007,111340,33
2008,111340,39
2009,111340,40
2010,111340,32
2011,111340,38
2012,111340,37
2013,111340,37
2014,111340,31
2015,111340,36
2016,111340,35
1986,111345,297
1987,111345,402
1988,111345,419
1989,111345,476
1990,111345,416
1991,111345,849
1992,111345,1139
1993,111345,1354
1994,111345,2247
1995,111345,2515
1996,111345,2273
1997,111345,2841
1998,111345,3089
1999,111345,2818
2000,111345,2533
2001,111345,2080
2002,111345,2025
2003,111345,2010
2004,111345,1728
2005,111345,1721
2006,111345,2059
2007,111345,2129
2008,111345,2208
2009,111345,2432
2010,111345,2395
2011,111345,2483
2012,111345,2643
2013,111345,2903
2014,111345,2888
2015,111345,3238
2016,111345,3421
1986,111405,37462
1987,111405,33030
1988,111405,35351
1989,111405,13465
1990,111405,13041
1991,111405,12986
1992,111405,100401
1993,111405,151835
1994,111405,155924
1995,111405,122560
1996,111405,129555
1997,111405,131690
1998,111405,178366
1999,111405,172674
2000,111405,169969
2001,111405,169291
2002,111405,124080
2003,111405,48370
2004,111405,45044
2005,111405,51026
2006,111405,60498
2007,111405,58954
2008,111405,62011
2009,111405,73296
2010,111405,69586
2011,111405,64096
2012,111405,61789
2013,111405,60219
2014,111405,63319
2015,111405,62921
2016,111405,55302
1986,111410,268906
1987,111410,270140
1988,111410,279500
1989,111410,301241
1990,111410,293647
1991,111410,320828
1992,111410,249963
1993,111410,286290
1994,111410,280376
1995,111410,292513
1996,111410,290915
1997,111410,295164
1998,111410,295764
1999,111410,294951
2000,111410,254304
2001,111410,90742
2002,111410,87410
2003,111410,201208
2004,111410,170097
2005,111410,198965
2006,111410,206520
2007,111410,313117
2008,111410,221481
2009,111410,325958
2010,111410,324483
2011,111410,327168
2012,111410,365497
2013,111410,351915
2014,111410,381414
2015,111410,418539
2016,111410,427864
1986,111415,29721
1987,111415,30459
1988,111415,31880
1989,111415,32594
1990,111415,32272
1991,111415,32171
1992,111415,60485
1993,111415,66847
1994,111415,68934
1995,111415,69871
1996,111415,66441
1997,111415,85703
1998,111415,85492
1999,111415,63504
2000,111415,63133
2001,111415,69517
2002,111415,88153
2003,111415,166291
2004,111415,147048
2005,111415,192388
2006,111415,208104
2007,111415,234873
2008,111415,199242
2009,111415,263097
2010,111415,272045
2011,111415,304681
2012,111415,234795
2013,111415,313239
2014,111415,327933
2015,111415,310049
2016,111415,244240
2008,111505,138
2009,111505,674
2010,111505,960
2011,111505,1045
2012,111505,1350
2013,111505,1387
2014,111505,1641
2015,111505,1591
2016,111505,2332
2008,111510,45
2009,111510,126
2010,111510,698
2011,111510,859
2012,111510,1332
2013,111510,3086
2014,111510,2186
2015,111510,2169
2016,111510,2215
2003,113005,8
2004,113005,5
2005,113005,12
2006,113005,7
2007,113005,6
2008,113005,91
2009,113005,35
2010,113005,21
2011,113005,90
2012,113005,17
2013,113005,16
2014,113005,41
2015,113005,25
2016,113005,26
2003,113010,217
2004,113010,201
2005,113010,210
2006,113010,269
2007,113010,421
2008,113010,312
2009,113010,372
2010,113010,258
2011,113010,194
2012,113010,226
2013,113010,168
2014,113010,165
2015,113010,118
2016,113010,121
2003,113015,21
2004,113015,17
2005,113015,26
2006,113015,60
2007,113015,52
2008,113015,47
2009,113015,87
2010,113015,84
2011,113015,111
2012,113015,109
2013,113015,75
2014,113015,47
2015,113015,56
2016,113015,63
2003,114105,628
2004,114105,489
2005,114105,921
2006,114105,633
2007,114105,696
2008,114105,595
2009,114105,895
2010,114105,228
2011,114105,397
2012,114105,161
2013,114105,400
2014,114105,274
2015,114105,275
2016,114105,220
2003,114205,3979
2004,114205,2328
2005,114205,2474
2006,114205,3227
2007,114205,2566
2008,114205,2741
2009,114205,2732
2010,114205,2870
2011,114205,2727
2012,114205,2848
2013,114205,2943
2014,114205,2986
2015,114205,3095
2016,114205,2917
2003,114210,110
2004,114210,476
2005,114210,313
2006,114210,202
2007,114210,194
2008,114210,144
2009,114210,155
2010,114210,354
2011,114210,206
2012,114210,191
2013,114210,264
2014,114210,209
2015,114210,214
2016,114210,225
2003,114305,561
2004,114305,611
2005,114305,741
2006,114305,667
2007,114305,674
2008,114305,622
2009,114305,695
2010,114305,545
2011,114305,465
2012,114305,411
2013,114305,354
2014,114305,328
2015,114305,314
2016,114305,353
1986,114405,411
1987,114405,393
1988,114405,394
1989,114405,490
1990,114405,534
1991,114405,567
1992,114405,545
1993,114405,837
1994,114405,739
1995,114405,766
1996,114405,741
1997,114405,757
1998,114405,959
1999,114405,1057
2000,114405,1133
2001,114405,1639
2002,114405,1090
2003,114405,2749
2004,114405,2647
2005,114405,1148
2006,114405,1261
2007,114405,1305
2008,114405,1304
2009,114405,1503
2010,114405,1531
2011,114405,1407
2012,114405,1040
2013,114405,1105
2014,114405,1073
2015,114405,1068
2016,114405,904
1986,121005,2069
1987,121005,2010
1988,121005,2070
1989,121005,2336
1990,121005,2512
1991,121005,2364
1992,121005,2227
1993,121005,2899
1994,121005,2978
1995,121005,2716
1996,121005,2588
1997,121005,2651
1998,121005,3054
1999,121005,3299
2000,121005,3516
2001,121005,4596
2002,121005,3583
2003,121005,5177
2004,121005,4575
2005,121005,5606
2006,121005,4925
2007,121005,4928
2008,121005,3881
2009,121005,4382
2010,121005,4296
2011,121005,4593
2012,121005,4083
2013,121005,4635
2014,121005,4630
2015,121005,4703
2016,121005,3903
1986,121010,33296
1987,121010,37912
1988,121010,38686
1989,121010,40257
1990,121010,35895
1991,121010,36837
1992,121010,37070
1993,121010,43558
1994,121010,44627
1995,121010,135827
1996,121010,42388
1997,121010,41941
1998,121010,39712
1999,121010,40846
2000,121010,39732
2001,121010,44425
2002,121010,47040
2003,121010,18470
2004,121010,14592
2005,121010,14228
2006,121010,14677
2007,121010,18135
2008,121010,18131
2009,121010,15140
2010,121010,20920
2011,121010,22544
2012,121010,22150
2013,121010,23445
2014,121010,22754
2015,121010,22665
2016,121010,21566
2003,122105,279
2004,122105,274
2005,122105,294
2006,122105,334
2007,122105,372
2008,122105,311
2009,122105,367
2010,122105,461
2011,122105,472
2012,122105,509
2013,122105,526
2014,122105,540
2015,122105,512
2016,122105,427
2003,122110,27
2004,122110,25
2005,122110,64
2006,122110,54
2007,122110,46
2008,122110,50
2009,122110,62
2010,122110,67
2011,122110,74
2012,122110,73
2013,122110,75
2014,122110,73
2015,122110,68
2016,122110,54
2003,122115,45
2004,122115,64
2005,122115,82
2006,122115,78
2007,122115,75
2008,122115,86
2009,122115,88
2010,122115,95
2011,122115,82
2012,122115,97
2013,122115,104
2014,122115,114
2015,122115,122
2016,122115,99
2003,122120,1017
2004,122120,19
2005,122120,18
2006,122120,27
2007,122120,25
2008,122120,29
2009,122120,28
2010,122120,33
2011,122120,33
2012,122120,32
2013,122120,26
2014,122120,18
2015,122120,22
2016,122120,19
1986,122205,463
1987,122205,462
1988,122205,500
1989,122205,509
1990,122205,508
1991,122205,464
1992,122205,429
1993,122205,445
1994,122205,415
1995,122205,451
1996,122205,375
1997,122205,354
1998,122205,310
1999,122205,315
2000,122205,326
2001,122205,331
2002,122205,334
2003,122205,1555
2004,122205,1417
2005,122205,1434
2006,122205,1311
2007,122205,1332
2008,122205,1546
2009,122205,1587
2010,122205,1805
2011,122205,1829
2012,122205,1799
2013,122205,1543
2014,122205,1594
2015,122205,1526
2016,122205,1415
2003,122305,654
2004,122305,675
2005,122305,775
2006,122305,1740
2007,122305,1844
2008,122305,1368
2009,122305,1695
2010,122305,2146
2011,122305,2764
2012,122305,1670
2013,122305,2317
2014,122305,2421
2015,122305,2410
2016,122305,2007
2003,122405,670
2004,122405,788
2005,122405,748
2006,122405,891
2007,122405,925
2008,122405,1011
2009,122405,1198
2010,122405,1285
2011,122405,1314
2012,122405,1378
2013,122405,1553
2014,122405,1577
2015,122405,1482
2016,122405,1437
2003,122505,282
2004,122505,327
2005,122505,272
2006,122505,292
2007,122505,277
2008,122505,329
2009,122505,373
2010,122505,400
2011,122505,515
2012,122505,440
2013,122505,483
2014,122505,548
2015,122505,576
2016,122505,530
2003,122510,41
2004,122510,46
2005,122510,42
