ano,cbo2002,empregados
2012,261135,7442
2013,261135,7052
2014,261135,6763
2015,261135,6226
2016,261135,5922
1986,261140,1981
1987,261140,1946
1988,261140,1910
1989,261140,1880
1990,261140,1880
1991,261140,1838
1992,261140,1521
1993,261140,1525
1994,261140,1462
1995,261140,1512
1996,261140,1618
1997,261140,1634
1998,261140,1649
1999,261140,1630
2000,261140,1673
2001,261140,1692
2002,261140,1609
2003,261140,5669
2004,261140,7000
2005,261140,7535
2006,261140,7854
2007,261140,8727
2008,261140,8654
2009,261140,7717
2010,261140,7677
2011,261140,7484
2012,261140,7127
2013,261140,6566
2014,261140,6311
2015,261140,5455
2016,261140,4767
1986,261205,6289
1987,261205,6528
1988,261205,6574
1989,261205,7087
1990,261205,6933
1991,261205,7527
1992,261205,7358
1993,261205,7789
1994,261205,7538
1995,261205,7984
1996,261205,7626
1997,261205,7494
1998,261205,7709
1999,261205,6842
2000,261205,7090
2001,261205,7166
2002,261205,7467
2003,261205,8586
2004,261205,8984
2005,261205,9816
2006,261205,10708
2007,261205,10164
2008,261205,10366
2009,261205,10258
2010,261205,11025
2011,261205,11562
2012,261205,11455
2013,261205,11562
2014,261205,12018
2015,261205,11675
2016,261205,11792
1986,261210,300
1987,261210,555
1988,261210,626
1989,261210,654
1990,261210,602
1991,261210,648
1992,261210,820
1993,261210,705
1994,261210,497
1995,261210,489
1996,261210,513
1997,261210,466
1998,261210,479
1999,261210,473
2000,261210,449
2001,261210,410
2002,261210,413
2003,261210,1303
2004,261210,1377
2005,261210,1500
2006,261210,1704
2007,261210,1876
2008,261210,2013
2009,261210,2225
2010,261210,2491
2011,261210,3314
2012,261210,3755
2013,261210,4197
2014,261210,4248
2015,261210,4108
2016,261210,4181
2003,261215,2875
2004,261215,1752
2005,261215,2625
2006,261215,3279
2007,261215,4011
2008,261215,5453
2009,261215,5469
2010,261215,7592
2011,261215,8048
2012,261215,9572
2013,261215,9767
2014,261215,11666
2015,261215,11714
2016,261215,12245
1986,261305,40425
1987,261305,39132
1988,261305,40869
1989,261305,38104
1990,261305,33255
1991,261305,31946
1992,261305,25455
1993,261305,25385
1994,261305,23122
1995,261305,28192
1996,261305,28385
1997,261305,28585
1998,261305,27315
1999,261305,27482
2000,261305,22950
2001,261305,22807
2002,261305,23536
2003,261305,1680
2004,261305,3062
2005,261305,3283
2006,261305,4008
2007,261305,4721
2008,261305,6758
2009,261305,6103
2010,261305,6669
2011,261305,6884
2012,261305,6973
2013,261305,7014
2014,261305,6721
2015,261305,6785
2016,261305,6171
1986,261310,77759
1987,261310,73132
1988,261310,84561
1989,261310,76522
1990,261310,62009
1991,261310,57306
1992,261310,52048
1993,261310,50849
1994,261310,48317
1995,261310,50001
1996,261310,50297
1997,261310,50080
1998,261310,52446
1999,261310,52133
2000,261310,54976
2001,261310,55432
2002,261310,59219
2003,261310,569
2004,261310,396
2005,261310,377
2006,261310,342
2007,261310,334
2008,261310,351
2009,261310,336
2010,261310,382
2011,261310,373
2012,261310,395
2013,261310,442
2014,261310,553
2015,261310,495
2016,261310,589
1986,261405,16
1987,261405,22
1988,261405,24
1989,261405,65
1990,261405,55
1991,261405,50
1992,261405,21
1993,261405,24
1994,261405,21
1995,261405,30
1996,261405,22
1997,261405,20
1998,261405,25
1999,261405,29
2000,261405,12
2001,261405,14
2002,261405,20
2003,261405,8
2004,261405,9
2005,261405,22
2006,261405,15
2007,261405,18
2008,261405,13
2009,261405,9
2010,261405,6
2011,261405,11
2012,261405,10
2013,261405,7
2014,261405,62
2015,261405,67
2016,261405,93
1986,261410,190
1987,261410,155
1988,261410,123
1989,261410,131
1990,261410,95
1991,261410,92
1992,261410,67
1993,261410,71
1994,261410,59
1995,261410,69
1996,261410,52
1997,261410,61
1998,261410,58
1999,261410,36
2000,261410,47
2001,261410,57
2002,261410,45
2003,261410,142
2004,261410,192
2005,261410,273
2006,261410,408
2007,261410,561
2008,261410,704
2009,261410,823
2010,261410,893
2011,261410,1000
2012,261410,974
2013,261410,925
2014,261410,890
2015,261410,823
2016,261410,1186
2003,261415,43
2004,261415,28
2005,261415,32
2006,261415,39
2007,261415,46
2008,261415,63
2009,261415,64
2010,261415,107
2011,261415,97
2012,261415,94
2013,261415,81
2014,261415,94
2015,261415,92
2016,261415,105
1986,261420,927
1987,261420,817
1988,261420,876
1989,261420,847
1990,261420,733
1991,261420,682
1992,261420,524
1993,261420,537
1994,261420,498
1995,261420,486
1996,261420,456
1997,261420,473
1998,261420,445
1999,261420,461
2000,261420,509
2001,261420,493
2002,261420,473
2003,261420,435
2004,261420,454
2005,261420,481
2006,261420,504
2007,261420,636
2008,261420,720
2009,261420,796
2010,261420,865
2011,261420,956
2012,261420,1027
2013,261420,1070
2014,261420,1278
2015,261420,1271
2016,261420,1193
2008,261425,9
2009,261425,96
2010,261425,397
2011,261425,822
2012,261425,1052
2013,261425,1412
2014,261425,1876
2015,261425,2126
2016,261425,2073
2013,261430,2
2014,261430,4
2015,261430,11
2016,261430,13
1986,261505,225
1987,261505,289
1988,261505,311
1989,261505,330
1990,261505,378
1991,261505,455
1992,261505,536
1993,261505,527
1994,261505,638
1995,261505,604
1996,261505,593
1997,261505,568
1998,261505,606
1999,261505,625
2000,261505,753
2001,261505,735
2002,261505,737
2003,261505,534
2004,261505,553
2005,261505,580
2006,261505,585
2007,261505,638
2008,261505,700
2009,261505,748
2010,261505,802
2011,261505,825
2012,261505,882
2013,261505,867
2014,261505,792
2015,261505,704
2016,261505,693
1986,261510,1000
1987,261510,698
1988,261510,863
1989,261510,824
1990,261510,829
1991,261510,717
1992,261510,581
1993,261510,499
1994,261510,393
1995,261510,310
1996,261510,297
1997,261510,187
1998,261510,444
1999,261510,233
2000,261510,232
2001,261510,289
2002,261510,271
2003,261510,86
2004,261510,59
2005,261510,61
2006,261510,71
2007,261510,102
2008,261510,82
2009,261510,71
2010,261510,76
2011,261510,79
2012,261510,69
2013,261510,66
2014,261510,72
2015,261510,66
2016,261510,70
1986,261515,140
1987,261515,95
1988,261515,159
1989,261515,168
1990,261515,185
1991,261515,149
1992,261515,132
1993,261515,117
1994,261515,139
1995,261515,100
1996,261515,91
1997,261515,68
1998,261515,86
1999,261515,75
2000,261515,111
2001,261515,123
2002,261515,119
2003,261515,106
2004,261515,74
2005,261515,64
2006,261515,65
2007,261515,64
2008,261515,83
2009,261515,120
2010,261515,99
2011,261515,85
2012,261515,72
2013,261515,73
2014,261515,60
2015,261515,57
2016,261515,41
2003,261520,128
2004,261520,55
2005,261520,55
2006,261520,44
2007,261520,49
2008,261520,47
2009,261520,53
2010,261520,65
2011,261520,53
2012,261520,46
2013,261520,52
2014,261520,71
2015,261520,84
2016,261520,97
2003,261525,97
2004,261525,96
2005,261525,89
2006,261525,101
2007,261525,89
2008,261525,100
2009,261525,87
2010,261525,119
2011,261525,91
2012,261525,90
2013,261525,87
2014,261525,74
2015,261525,70
2016,261525,60
1986,261530,333
1987,261530,332
1988,261530,326
1989,261530,344
1990,261530,344
1991,261530,326
1992,261530,303
1993,261530,412
1994,261530,364
1995,261530,382
1996,261530,297
1997,261530,323
1998,261530,340
1999,261530,363
2000,261530,369
2001,261530,424
2002,261530,385
2003,261530,1180
2004,261530,1192
2005,261530,1346
2006,261530,1401
2007,261530,1426
2008,261530,1551
2009,261530,1759
2010,261530,2817
2011,261530,2825
2012,261530,2639
2013,261530,2550
2014,261530,1942
2015,261530,1903
2016,261530,1763
2003,261605,668
2004,261605,682
2005,261605,775
2006,261605,851
2007,261605,1042
2008,261605,1037
2009,261605,809
2010,261605,874
2011,261605,931
2012,261605,1009
2013,261605,1171
2014,261605,1192
2015,261605,1146
2016,261605,1058
1986,261610,111
1987,261610,140
1988,261610,154
1989,261610,231
1990,261610,263
1991,261610,276
1992,261610,241
1993,261610,335
1994,261610,389
1995,261610,398
1996,261610,431
1997,261610,495
1998,261610,452
1999,261610,499
2000,261610,649
2001,261610,700
2002,261610,814
2003,261610,483
2004,261610,346
2005,261610,483
2006,261610,467
2007,261610,495
2008,261610,591
2009,261610,689
2010,261610,705
2011,261610,756
2012,261610,765
2013,261610,744
2014,261610,742
2015,261610,669
2016,261610,644
2003,261615,221
2004,261615,217
2005,261615,283
2006,261615,339
2007,261615,355
2008,261615,401
2009,261615,475
2010,261615,565
2011,261615,600
2012,261615,729
2013,261615,787
2014,261615,919
2015,261615,886
2016,261615,935
2003,261620,115
2004,261620,101
2005,261620,126
2006,261620,131
2007,261620,131
2008,261620,164
2009,261620,394
2010,261620,457
2011,261620,476
2012,261620,482
2013,261620,459
2014,261620,530
2015,261620,434
2016,261620,428
2003,261625,8
2004,261625,15
2005,261625,14
2006,261625,19
2007,261625,17
2008,261625,17
2009,261625,21
2010,261625,25
2011,261625,21
2012,261625,17
2013,261625,11
2014,261625,16
2015,261625,13
2016,261625,10
2003,261705,330
2004,261705,288
2005,261705,329
2006,261705,336
2007,261705,322
2008,261705,360
2009,261705,330
2010,261705,337
2011,261705,358
2012,261705,299
2013,261705,294
2014,261705,325
2015,261705,276
2016,261705,258
1986,261710,223
1987,261710,217
1988,261710,255
1989,261710,263
1990,261710,264
1991,261710,268
1992,261710,189
1993,261710,180
1994,261710,191
1995,261710,202
1996,261710,187
1997,261710,176
1998,261710,171
1999,261710,157
2000,261710,174
2001,261710,169
2002,261710,160
2003,261710,478
2004,261710,416
2005,261710,385
2006,261710,381
2007,261710,382
2008,261710,345
2009,261710,359
2010,261710,379
2011,261710,400
2012,261710,360
2013,261710,355
2014,261710,353
2015,261710,342
2016,261710,307
1986,261715,7380
1987,261715,7664
1988,261715,8091
1989,261715,8186
1990,261715,8863
1991,261715,9653
1992,261715,8871
1993,261715,9503
1994,261715,9518
1995,261715,10539
1996,261715,10859
1997,261715,11033
1998,261715,10885
1999,261715,10853
2000,261715,11208
2001,261715,11093
2002,261715,11374
2003,261715,10173
2004,261715,10386
2005,261715,10667
2006,261715,11150
2007,261715,11268
2008,261715,11476
2009,261715,11729
2010,261715,11966
2011,261715,12137
2012,261715,13658
2013,261715,11744
2014,261715,11957
2015,261715,11758
2016,261715,11166
2003,261720,1309
2004,261720,1375
2005,261720,1605
2006,261720,1405
2007,261720,1276
2008,261720,1340
2009,261720,1476
2010,261720,1717
2011,261720,1708
2012,261720,1775
2013,261720,1795
2014,261720,1647
2015,261720,1732
2016,261720,1671
2003,261725,75
2004,261725,89
2005,261725,78
2006,261725,83
2007,261725,68
2008,261725,78
2009,261725,78
2010,261725,79
2011,261725,72
2012,261725,64
2013,261725,75
2014,261725,63
2015,261725,60
2016,261725,58
1986,261730,777
1987,261730,730
1988,261730,750
1989,261730,732
1990,261730,716
1991,261730,708
1992,261730,560
1993,261730,557
1994,261730,506
1995,261730,551
1996,261730,565
1997,261730,577
1998,261730,577
1999,261730,565
2000,261730,587
2001,261730,585
2002,261730,561
2003,261730,1433
2004,261730,1756
2005,261730,2072
2006,261730,2074
2007,261730,2658
2008,261730,2839
2009,261730,2914
2010,261730,3246
2011,261730,3197
2012,261730,3215
2013,261730,3423
2014,261730,3574
2015,261730,3396
2016,261730,3101
1986,261805,4757
1987,261805,4745
1988,261805,4997
1989,261805,4972
1990,261805,4796
1991,261805,4360
1992,261805,4613
1993,261805,3878
1994,261805,4094
1995,261805,4471
1996,261805,4516
1997,261805,4723
1998,261805,4663
1999,261805,4562
2000,261805,4584
2001,261805,4756
2002,261805,5128
2003,261805,2255
2004,261805,2233
2005,261805,2323
2006,261805,2457
2007,261805,2509
2008,261805,2764
2009,261805,2900
2010,261805,3134
2011,261805,3336
2012,261805,3517
2013,261805,3660
2014,261805,3594
2015,261805,3315
2016,261805,2985
1986,261810,94
1987,261810,95
1988,261810,100
1989,261810,103
1990,261810,87
1991,261810,78
1992,261810,63
1993,261810,62
1994,261810,51
1995,261810,64
1996,261810,53
1997,261810,51
1998,261810,43
1999,261810,40
2000,261810,38
2001,261810,53
2002,261810,55
2003,261810,88
2004,261810,88
2005,261810,132
2006,261810,159
2007,261810,174
2008,261810,197
2009,261810,184
2010,261810,184
2011,261810,187
2012,261810,204
2013,261810,200
2014,261810,206
2015,261810,201
2016,261810,169
1986,261815,670
1987,261815,687
1988,261815,689
1989,261815,721
1990,261815,661
1991,261815,608
1992,261815,563
1993,261815,576
1994,261815,611
1995,261815,759
1996,261815,796
1997,261815,822
1998,261815,694
1999,261815,724
2000,261815,703
2001,261815,708
2002,261815,804
2003,261815,354
2004,261815,370
2005,261815,356
2006,261815,435
2007,261815,489
2008,261815,504
2009,261815,489
2010,261815,531
2011,261815,619
2012,261815,649
2013,261815,626
2014,261815,607
2015,261815,591
2016,261815,558
1986,261820,735
1987,261820,714
1988,261820,714
1989,261820,729
1990,261820,708
1991,261820,829
1992,261820,874
1993,261820,878
1994,261820,866
1995,261820,861
1996,261820,968
1997,261820,1048
1998,261820,1023
1999,261820,988
2000,261820,1025
2001,261820,960
2002,261820,933
2003,261820,825
2004,261820,863
2005,261820,979
2006,261820,952
2007,261820,954
2008,261820,981
2009,261820,1020
2010,261820,1063
2011,261820,1170
2012,261820,1127
2013,261820,1066
2014,261820,1033
2015,261820,932
2016,261820,742
1986,262105,478
1987,262105,459
1988,262105,552
1989,262105,559
1990,262105,526
1991,262105,453
1992,262105,443
1993,262105,444
1994,262105,453
1995,262105,498
1996,262105,476
1997,262105,548
1998,262105,605
1999,262105,564
2000,262105,637
2001,262105,606
2002,262105,618
2003,262105,216
2004,262105,219
2005,262105,246
2006,262105,216
2007,262105,255
2008,262105,216
2009,262105,192
2010,262105,503
2011,262105,532
2012,262105,712
2013,262105,687
2014,262105,827
2015,262105,827
2016,262105,838
1986,262110,242
1987,262110,237
1988,262110,314
1989,262110,330
1990,262110,296
1991,262110,264
1992,262110,253
1993,262110,232
1994,262110,254
1995,262110,253
1996,262110,237
1997,262110,231
1998,262110,208
1999,262110,210
2000,262110,231
2001,262110,241
2002,262110,259
2003,262110,323
2004,262110,250
2005,262110,279
2006,262110,298
2007,262110,330
2008,262110,400
2009,262110,467
2010,262110,518
2011,262110,594
2012,262110,666
2013,262110,699
2014,262110,624
2015,262110,610
2016,262110,562
1986,262115,1049
1987,262115,1075
1988,262115,1232
1989,262115,1305
1990,262115,1180
1991,262115,1138
1992,262115,1071
1993,262115,1085
1994,262115,1119
1995,262115,1315
1996,262115,1298
1997,262115,1386
1998,262115,1393
1999,262115,1489
2000,262115,1638
2001,262115,1699
2002,262115,1668
2003,262115,1035
2004,262115,1113
2005,262115,1181
2006,262115,1340
2007,262115,1401
2008,262115,1421
2009,262115,1455
2010,262115,1537
2011,262115,1482
2012,262115,1467
2013,262115,1318
2014,262115,1333
2015,262115,1288
2016,262115,1165
1986,262120,17
1987,262120,5
1988,262120,12
1989,262120,15
1990,262120,18
1991,262120,19
1992,262120,16
1993,262120,177
1994,262120,23
1995,262120,21
1996,262120,25
1997,262120,26
1998,262120,19
1999,262120,18
2000,262120,19
2001,262120,25
2002,262120,62
2003,262120,120
2004,262120,129
2005,262120,180
2006,262120,182
2007,262120,194
2008,262120,237
2009,262120,238
2010,262120,294
2011,262120,242
2012,262120,241
2013,262120,209
2014,262120,222
2015,262120,250
2016,262120,213
1986,262125,514
1987,262125,494
1988,262125,661
1989,262125,718
1990,262125,696
1991,262125,583
1992,262125,570
1993,262125,500
1994,262125,499
1995,262125,491
1996,262125,487
1997,262125,479
1998,262125,423
1999,262125,440
2000,262125,472
2001,262125,456
2002,262125,481
2003,262125,816
2004,262125,1276
2005,262125,1392
2006,262125,1599
2007,262125,1696
2008,262125,1817
2009,262125,2015
2010,262125,2161
2011,262125,2213
2012,262125,2236
2013,262125,2280
2014,262125,2557
2015,262125,2504
2016,262125,2398
2010,262130,10
2011,262130,26
2012,262130,34
2013,262130,39
2014,262130,57
2015,262130,85
2016,262130,80
2010,262135,34
2011,262135,126
2012,262135,192
2013,262135,260
2014,262135,412
2015,262135,450
2016,262135,485
1986,262205,11
1987,262205,12
1988,262205,12
1989,262205,13
1990,262205,13
1991,262205,15
1992,262205,13
1993,262205,16
1994,262205,20
1995,262205,16
1996,262205,15
1997,262205,18
1998,262205,19
1999,262205,27
2000,262205,25
2001,262205,26
2002,262205,36
2003,262205,129
2004,262205,120
2005,262205,157
2006,262205,268
2007,262205,187
2008,262205,194
2009,262205,209
2010,262205,234
2011,262205,190
2012,262205,179
2013,262205,169
2014,262205,159
2015,262205,169
2016,262205,130
2003,262210,137
2004,262210,117
2005,262210,146
2006,262210,144
2007,262210,161
2008,262210,161
2009,262210,166
2010,262210,181
2011,262210,205
2012,262210,208
2013,262210,216
2014,262210,237
2015,262210,228
2016,262210,212
1986,262215,102
1987,262215,95
1988,262215,104
1989,262215,122
1990,262215,125
1991,262215,69
1992,262215,75
1993,262215,70
1994,262215,89
1995,262215,81
1996,262215,95
1997,262215,106
1998,262215,113
1999,262215,105
2000,262215,129
2001,262215,123
2002,262215,114
2003,262215,166
2004,262215,191
2005,262215,211
2006,262215,268
2007,262215,250
2008,262215,281
2009,262215,311
2010,262215,371
2011,262215,392
2012,262215,427
2013,262215,492
2014,262215,514
2015,262215,520
2016,262215,508
1986,262220,301
1987,262220,284
1988,262220,279
1989,262220,338
1990,262220,366
1991,262220,393
1992,262220,392
1993,262220,599
1994,262220,552
1995,262220,748
1996,262220,777
1997,262220,812
1998,262220,698
1999,262220,771
2000,262220,824
2001,262220,1160
2002,262220,876
2003,262220,1691
2004,262220,1449
2005,262220,1382
2006,262220,1474
2007,262220,1069
2008,262220,943
2009,262220,915
2010,262220,982
2011,262220,982
2012,262220,968
2013,262220,934
2014,262220,963
2015,262220,943
2016,262220,849
2003,262305,11
2004,262305,55
2005,262305,63
2006,262305,37
2007,262305,25
2008,262305,41
2009,262305,15
2010,262305,20
2011,262305,37
2012,262305,37
2013,262305,47
2014,262305,37
2015,262305,37
2016,262305,34
2003,262310,18
2004,262310,15
2005,262310,10
2006,262310,226
2007,262310,14
2008,262310,16
2009,262310,20
2010,262310,17
2011,262310,24
2012,262310,25
2013,262310,25
2014,262310,24
2015,262310,20
2016,262310,24
2003,262315,64
2004,262315,99
2005,262315,139
2006,262315,129
2007,262315,166
2008,262315,190
2009,262315,205
2010,262315,221
2011,262315,245
2012,262315,223
2013,262315,223
2014,262315,247
2015,262315,203
2016,262315,194
1987,262320,1
1988,262320,1
1989,262320,1
1991,262320,3
1992,262320,32
1993,262320,45
1994,262320,66
1995,262320,65
1996,262320,60
1997,262320,93
1998,262320,61
1999,262320,59
2000,262320,68
2001,262320,96
2002,262320,106
2003,262320,68
2004,262320,47
2005,262320,70
2006,262320,79
2007,262320,69
2008,262320,58
2009,262320,68
2010,262320,64
2011,262320,72
2012,262320,74
2013,262320,76
2014,262320,80
2015,262320,65
2016,262320,77
2003,262325,174
2004,262325,191
2005,262325,245
2006,262325,275
2007,262325,282
2008,262325,267
2009,262325,268
2010,262325,290
2011,262325,311
2012,262325,303
2013,262325,320
2014,262325,304
2015,262325,242
2016,262325,246
2003,262330,873
2004,262330,1056
2005,262330,1297
2006,262330,1490
2007,262330,1690
2008,262330,2305
2009,262330,2622
2010,262330,2968
2011,262330,3386
2012,262330,3634
2013,262330,3822
2014,262330,3731
2015,262330,3447
2016,262330,3126
1986,262405,2745
1987,262405,2584
1988,262405,2750
1989,262405,2795
1990,262405,2587
1991,262405,2363
1992,262405,1855
1993,262405,1865
1994,262405,1717
1995,262405,1969
1996,262405,1869
1997,262405,1954
1998,262405,1960
1999,262405,1949
2000,262405,2130
2001,262405,2183
2002,262405,2279
2003,262405,3265
2004,262405,3303
2005,262405,3420
2006,262405,3697
2007,262405,3780
2008,262405,3836
2009,262405,4023
2010,262405,4256
2011,262405,4461
2012,262405,4446
2013,262405,4620
2014,262405,4396
2015,262405,3883
2016,262405,3564
1986,262410,1668
1987,262410,1803
1988,262410,1915
1989,262410,1941
1990,262410,1853
1991,262410,1767
1992,262410,1384
1993,262410,1272
1994,262410,1499
1995,262410,1600
1996,262410,1567
1997,262410,1633
1998,262410,1684
1999,262410,1568
2000,262410,1820
2001,262410,1766
2002,262410,1805
2003,262410,4323
2004,262410,5057
2005,262410,6341
2006,262410,7690
2007,262410,9465
2008,262410,11657
2009,262410,13797
2010,262410,15157
2011,262410,17806
2012,262410,19313
2013,262410,18472
2014,262410,19768
2015,262410,19267
2016,262410,19086
2008,262415,46
2009,262415,49
2010,262415,113
2011,262415,173
2012,262415,191
2013,262415,166
2014,262415,183
2015,262415,223
2016,262415,220
2010,262420,167
2011,262420,623
2012,262420,967
2013,262420,1217
2014,262420,1427
2015,262420,1505
2016,262420,1544
2010,262425,636
2011,262425,1370
2012,262425,1957
2013,262425,2481
2014,262425,3121
2015,262425,3346
2016,262425,3653
1986,262505,2121
1987,262505,2020
1988,262505,2502
1989,262505,2135
1990,262505,2176
1991,262505,2050
1992,262505,1973
1993,262505,2032
1994,262505,2143
1995,262505,2433
1996,262505,2397
1997,262505,2632
1998,262505,2731
1999,262505,2585
2000,262505,2896
2001,262505,2727
2002,262505,2812
2003,262505,756
2004,262505,849
2005,262505,875
2006,262505,1074
2007,262505,1082
2008,262505,947
2009,262505,899
2010,262505,972
2011,262505,908
2012,262505,911
2013,262505,995
2014,262505,916
2015,262505,857
2016,262505,735
1986,262605,16
1987,262605,14
1988,262605,18
1989,262605,12
1990,262605,6
1991,262605,4
1992,262605,37
1993,262605,104
1994,262605,715
1995,262605,704
1996,262605,708
1997,262605,719
1998,262605,6
1999,262605,5
2000,262605,12
2001,262605,9
2002,262605,18
2003,262605,173
2004,262605,137
2005,262605,138
2006,262605,235
2007,262605,150
2008,262605,113
2009,262605,81
2010,262605,80
2011,262605,86
2012,262605,79
2013,262605,59
2014,262605,95
2015,262605,48
2016,262605,46
1986,262610,2273
1987,262610,2809
1988,262610,3005
1989,262610,2821
1990,262610,2785
1991,262610,2952
1992,262610,2841
1993,262610,3077
1994,262610,3838
1995,262610,3846
1996,262610,3631
1997,262610,3529
1998,262610,3567
1999,262610,3665
2000,262610,3775
2001,262610,3872
2002,262610,3887
2003,262610,1413
2004,262610,1294
2005,262610,1363
2006,262610,1411
2007,262610,1348
2008,262610,1310
2009,262610,1285
2010,262610,1313
2011,262610,1381
2012,262610,1370
2013,262610,1397
2014,262610,1377
2015,262610,1396
2016,262610,1244
1986,262615,2245
1987,262615,1878
1988,262615,2091
1989,262615,1914
1990,262615,1808
1991,262615,1811
1992,262615,1503
1993,262615,1397
1994,262615,1218
1995,262615,1227
1996,262615,1261
1997,262615,1283
1998,262615,1381
1999,262615,1448
2000,262615,1401
2001,262615,1613
2002,262615,1904
2003,262615,2575
2004,262615,2301
2005,262615,2339
2006,262615,2416
2007,262615,2300
2008,262615,2261
2009,262615,2478
2010,262615,2588
2011,262615,2734
2012,262615,2727
2013,262615,2964
2014,262615,2759
2015,262615,2574
2016,262615,2211
2003,262620,270
2004,262620,334
2005,262620,363
2006,262620,330
2007,262620,359
2008,262620,339
2009,262620,267
2010,262620,311
2011,262620,304
2012,262620,365
2013,262620,358
2014,262620,362
2015,262620,340
2016,262620,344
1986,262705,183
1987,262705,210
1988,262705,296
1989,262705,349
1990,262705,321
1991,262705,296
1992,262705,306
1993,262705,317
1994,262705,458
1995,262705,409
1996,262705,390
1997,262705,393
1998,262705,347
1999,262705,339
2000,262705,329
2001,262705,275
2002,262705,346
2003,262705,823
2004,262705,781
2005,262705,822
2006,262705,797
2007,262705,665
2008,262705,703
2009,262705,785
2010,262705,821
2011,262705,889
2012,262705,895
2013,262705,906
2014,262705,979
2015,262705,985
2016,262705,914
2003,262710,1812
2004,262710,2090
2005,262710,2498
2006,262710,2711
2007,262710,2878
2008,262710,3213
2009,262710,5297
2010,262710,5396
2011,262710,5476
2012,262710,4978
2013,262710,5279
2014,262710,5497
2015,262710,5482
2016,262710,5365
2003,262805,99
2004,262805,81
2005,262805,104
2006,262805,112
2007,262805,121
2008,262805,157
2009,262805,157
2010,262805,187
2011,262805,194
2012,262805,192
2013,262805,211
2014,262805,190
2015,262805,179
2016,262805,173
1986,262810,234
1987,262810,245
1988,262810,284
1989,262810,327
1990,262810,332
1991,262810,307
1992,262810,287
1993,262810,366
1994,262810,499
1995,262810,504
1996,262810,473
1997,262810,526
1998,262810,496
1999,262810,479
2000,262810,500
2001,262810,604
2002,262810,543
2003,262810,555
2004,262810,582
2005,262810,505
2006,262810,612
2007,262810,457
2008,262810,549
2009,262810,421
2010,262810,533
2011,262810,533
2012,262810,578
2013,262810,644
2014,262810,647
2015,262810,739
2016,262810,653
1986,262815,152
1987,262815,92
1988,262815,149
1989,262815,101
1990,262815,283
1991,262815,314
1992,262815,344
1993,262815,411
1994,262815,139
1995,262815,110
1996,262815,114
1997,262815,92
1998,262815,109
1999,262815,110
2000,262815,107
2001,262815,128
2002,262815,119
2003,262815,178
2004,262815,202
2005,262815,157
2006,262815,160
2007,262815,162
2008,262815,135
2009,262815,179
2010,262815,190
2011,262815,219
2012,262815,220
2013,262815,219
2014,262815,223
2015,262815,223
2016,262815,207
2005,262820,4
2006,262820,4
2007,262820,7
2008,262820,3
2009,262820,3
2010,262820,2
2011,262820,16
2012,262820,11
2013,262820,14
2014,262820,11
2015,262820,13
2016,262820,4
2003,262825,41
2004,262825,81
2005,262825,75
2006,262825,68
2007,262825,84
2008,262825,113
2009,262825,98
2010,262825,114
2011,262825,127
2012,262825,163
2013,262825,178
2014,262825,188
2015,262825,185
2016,262825,214
1986,262830,152
1987,262830,176
1988,262830,202
1989,262830,207
1990,262830,223
1991,262830,209
1992,262830,251
1993,262830,345
1994,262830,385
1995,262830,423
1996,262830,442
1997,262830,495
1998,262830,568
1999,262830,575
2000,262830,588
2001,262830,410
2002,262830,613
2003,262830,1066
2004,262830,1157
2005,262830,1422
2006,262830,1539
2007,262830,1725
2008,262830,1836
2009,262830,2341
2010,262830,2817
2011,262830,3105
2012,262830,3391
2013,262830,4117
2014,262830,4432
2015,262830,4915
2016,262830,5127
2003,262905,397
2004,262905,422
2005,262905,489
2006,262905,533
2007,262905,597
2008,262905,753
2009,262905,737
2010,262905,816
2011,262905,865
2012,262905,891
2013,262905,895
2014,262905,809
2015,262905,757
2016,262905,687
1986,263105,789
1987,263105,844
1988,263105,896
1989,263105,835
1990,263105,850
1991,263105,922
1992,263105,970
1993,263105,1037
1994,263105,779
1995,263105,818
1996,263105,878
1997,263105,976
1998,263105,1099
1999,263105,1055
2000,263105,1066
2001,263105,1107
2002,263105,1113
2003,263105,2019
2004,263105,2042
2005,263105,2056
2006,263105,2056
2007,263105,2115
2008,263105,2142
2009,263105,2263
2010,263105,3108
2011,263105,2344
2012,263105,2509
2013,263105,2388
2014,263105,2499
2015,263105,2558
2016,263105,2677
1986,263110,217
1987,263110,194
1988,263110,268
1989,263110,257
1990,263110,266
1991,263110,281
1992,263110,300
1993,263110,344
1994,263110,296
1995,263110,328
1996,263110,327
1997,263110,319
1998,263110,339
1999,263110,359
2000,263110,376
2001,263110,354
2002,263110,348
2003,263110,440
2004,263110,448
2005,263110,474
2006,263110,520
2007,263110,505
2008,263110,514
2009,263110,468
2010,263110,645
2011,263110,704
2012,263110,590
2013,263110,578
2014,263110,673
2015,263110,626
2016,263110,536
1988,263115,2
1994,263115,3
1995,263115,5
1996,263115,7
1997,263115,18
1998,263115,35
1999,263115,36
2000,263115,49
2001,263115,69
2002,263115,82
2003,263115,142
2004,263115,170
2005,263115,229
2006,263115,256
2007,263115,292
2008,263115,328
2009,263115,284
2010,263115,375
2011,263115,438
2012,263115,461
2013,263115,446
2014,263115,432
2015,263115,391
2016,263115,384
2003,271105,9511
2004,271105,9704
2005,271105,10337
2006,271105,11394
2007,271105,12339
2008,271105,14074
2009,271105,15789
2010,271105,12107
2011,271105,11856
2012,271105,7321
2013,271105,9226
