"Cod_Mun","Porcent"
"350250",74.1102181400689
"350315",83.3698030634573
"350350",79.81220657277
"350490",66.7603654251581
"350850",76.5502921095235
"350860",67.1928327645051
"350970",67.1824104234528
"350995",73.7584945112389
"351050",74.8866594518705
"351340",65.6480505795574
"351360",80.0996932515338
"351840",65.5470863044013
"352020",74.0491092922484
"352040",72.5491866110212
"352440",73.1703018285966
"352490",57.0847112693971
"352630",82.4601366742597
"352660",68.6746987951807
"352720",71.6034637205136
"353170",71.3368983957219
"353230",63.4146341463415
"353560",79.8250728862974
"353800",73.0676597832389
"353850",70.7831325301205
"354075",73.290253096392
"354190",79.3143747565251
"354230",75.5696202531646
"354430",73.1933929800413
"354600",76.0233918128655
"354820",71.4285714285714
"354860",72.0835455934794
"354960",66.5562913907285
"354990",71.4832358326419
"355000",78.7729511867443
"355070",68.1425148452964
"355200",85.4444444444444
"355410",73.2849586205013
"355480",79.7124101281651
"355540",72.232162827108
