"CBO2002";"Job_Zone"
"213210";"4"
"213210";"5"
"213205";"4"
"213205";"5"
"213105";"5"
"213150";"5"
"213175";"5"
"213160";"5"
"213110";"5"
"213155";"5"
"213125";"5"
"213135";"5"
"301110";"2"
"301110";"4"
"301110";"3"
"213415";"4"
"213315";"4"
"213305";"5"
"203215";"4"
"213120";"5"
"213420";"4"
"311510";"3"
"311510";"4"
"316105";"3"
"316105";"4"
"222110";"5"
"222110";"4"
"222120";"5"
"222120";"4"
"222115";"5"
"222115";"4"
"214205";"4"
"214215";"4"
"214255";"4"
"214210";"4"
"214225";"4"
"214245";"4"
"214265";"4"
"214230";"4"
"214260";"4"
"214240";"4"
"214105";"4"
"214105";"5"
"214125";"4"
"214125";"5"
"214120";"4"
"214120";"5"
"141305";"4"
"203205";"4"
"214110";"4"
"214110";"5"
"214250";"4"
"312105";"3"
"318505";"3"
"710205";"3"
"710205";"4"
"710205";"2"
"214405";"4"
"214405";"5"
"214305";"4"
"214365";"4"
"214610";"4"
"214610";"5"
"214510";"4"
"262410";"3"
"214505";"4"
"214905";"4"
"214905";"5"
"214310";"4"
"214325";"4"
"214340";"4"
"214320";"4"
"214330";"4"
"214430";"4"
"214430";"5"
"214425";"4"
"214425";"5"
"214410";"4"
"214410";"5"
"214415";"4"
"214415";"5"
"214420";"4"
"214420";"5"
"214525";"4"
"214520";"4"
"214605";"4"
"214605";"5"
"214705";"4"
"214705";"5"
"213405";"4"
"214725";"4"
"214725";"5"
"214925";"4"
"214925";"5"
"214915";"4"
"214915";"5"
"214910";"4"
"214910";"5"
"214805";"4"
"203210";"4"
"203210";"5"
"214810";"4"
"351105";"3"
"424125";"3"
"424125";"4"
"351305";"3"
"351305";"4"
"351310";"3"
"351310";"4"
"391210";"4"
"391210";"3"
"391210";"2"
"411035";"3"
"411035";"2"
"321110";"3"
"321105";"3"
"323105";"3"
"324205";"4"
"324205";"5"
"324205";"3"
"321305";"3"
"203020";"5"
"203020";"4"
"316305";"2"
"316305";"4"
"316305";"3"
"314620";"2"
"314620";"4"
"314620";"3"
"314725";"2"
"314725";"4"
"314725";"3"
"314710";"2"
"314710";"4"
"314710";"3"
"314730";"2"
"314730";"4"
"314730";"3"
"314720";"2"
"314720";"4"
"314720";"3"
"314705";"2"
"314705";"4"
"314705";"3"
"314715";"2"
"314715";"4"
"314715";"3"
"316310";"2"
"316310";"4"
"316310";"3"
"316110";"3"
"316110";"4"
"141205";"4"
"141205";"3"
"141205";"5"
"711320";"1"
"711320";"2"
"720125";"2"
"720125";"3"
"720150";"2"
"720150";"3"
