"CBO2002";"code";"job_zone"
"251405";"27-4021.00";"4"
"251505";"19-3031.01";"5"
"251510";"19-3031.02";"5"
"251515";"19-3031.01";"5"
"251525";"19-3031.02";"5"
"251530";"19-3031.01";"5"
"251535";"19-3031.02";"5"
"251540";"19-3031.01";"5"
"251550";"29-1066.00";"4"
"254110";"19-4011.02";"3"
"254405";"";"3"
"254415";"15-2091.00";"3"
"261105";"15-2031.00";"4"
"261110";"27-2012.01";"4"
"261120";"27-3041.00";"4"
"261125";"29-1069.03";"4"
"261135";"27-3011.00";"4"
"261140";"13-2082.00";"4"
"261305";"25-4011.00";"5"
"261310";"29-1069.04";"5"
"261405";"29-1069.07";"4"
"261410";"27-1025.00";"4"
"261420";"11-1031.00";"4"
"261505";"43-4041.01";"4"
"261510";"29-1141.03";"4"
"261515";"39-9032.00";"4"
"261530";"27-3042.00";"4"
"261610";"27-3041.00";"4"
"261715";"27-3011.00";"4"
"261730";"";"4"
"261805";"27-4021.00";"3"
"261810";"11-2011.00";"3"
"261815";"27-4021.00";"3"
"261820";"23-2091.00";"3"
"262405";"41-3011.00";"3"
"262410";"49-9041.00";"3"
"300305";"17-3024.00";"3"
"312105";"17-3022.00";"3"
"312205";"27-4012.00";"3"
"312210";"29-2051.00";"3"
"312305";"17-3031.01";"3"
"312315";"31-9099.02";"4"
"312320";"17-1022.00";"4"
"313105";"47-2111.00";"3"
"313120";"17-3023.03";"3"
"313125";"17-3023.03";"3"
"313130";"17-2112.00";"3"
"313205";"17-3023.01";"3"
"313210";"";"3"
"313215";"17-3024.00";"3"
"313305";"19-4051.02";"3"
"313310";"";"3"
"313315";"15-1143.01";"3"
"313320";"53-6041.00";"3"
"313410";"19-4051.01";"3"
"313415";"";"3"
"313505";"17-3029.08";"3"
"318505";"17-3011.01";"3"
"321105";"19-4011.01";"3"
"321110";"19-4011.01";"3"
"321205";"17-3024.01";"3"
"321210";"25-4031.00";"3"
"321305";"17-3031.02";"3"
"321310";"17-3031.01";"3"
"322205";"17-3031.01";"3"
"322210";"19-4099.03";"3"
"322215";"17-3031.01";"3"
"322220";"29-2053.00";"3"
"322225";"29-2099.07";"3"
"322230";"31-1014.00";"3"
"322235";"31-1014.00";"3"
"322405";"29-9012.00";"3"
"322410";"29-1024.00";"3"
"323105";"29-2051.00";"3"
"324105";"";"3"
"324110";"";"3"
"324115";"";"3"
"342205";"13-1199.03";"2"
"342210";"13-1199.03";"2"
"342405";"";"2"
"342520";"11-3071.01";"3"
"351105";"17-3031.01";"3"
"351110";"19-4051.02";"3"
"351505";"29-1125.00";"3"
"351705";"27-4012.00";"4"
"351710";"13-2041.00";"4"
"351715";"21-1093.00";"4"
"351720";"25-1191.00";"4"
"351725";"33-2021.01";"4"
"351730";"33-2021.01";"4"
"351740";"53-6041.00";"4"
"352305";"29-1069.04";"2"
"352310";"41-9022.00";"2"
"352410";"21-1091.00";"2"
"354505";"13-2053.00";"4"
"371105";"43-4121.00";"3"
"372105";"";"3"
"372115";"43-2021.00";"3"
"372205";"43-2021.00";"3"
