Nome,Bolsista,Doutorado,Professor
Raydonal Ospina Martínez ,NA,"Doutorado em Estatística pelo Instituto de Matemática e Estatística da Universidade de São Paulo IME-USP, Brasil(2008)","Professor Associado I da Universidade Federal de Pernambuco , Brasil"
Alípio Mário Guedes Jorge ,NA,"Doutorado em Ciência de Computadores pela Universidade do Porto, Portugal(1998)","Professor Associado da Faculdade de Ciências da Universidade do Porto , Portugal"
Ivo Pereira ,NA,"Doutorado em Engenharia Electrotécnica e de Computadores pela Universidade de Trás-os-Montes e Alto Douro , Portugal(2014)",NA
Gerardo Casanola ,NA,"Doutorado pelo Universidad Central Marta Abreu de Las Villas, Cuba(2009)","Visiting Assistant Professor da Pontifical University Catholic of Ecuador in Esmeraldas , Equador"
Eleazar Cristian Mejia Sanchez ,NA,"Doutorado em Engenharia Mecânica pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2014)",NA
Andrzej Kilian ,NA,"Doutorado em Ph.D. in Genetics pela University of Silesian, Polônia(1987)",NA
Ricardo Valverde Gil ,NA,"Doutorado em Control y Automatización Industrial pelo Universidad Carlos III de Madrid, Espanha(1999)","Professor titular da San Francisco State University , Estados Unidos"
Jan Baumbach ,NA,"Doutorado em Bioinformática pelo Center for Biotechnology Bielefeld, Alemanha(2008)","Associate Professor, “Computational Biology” da University of Southern Denmark , Dinamarca"
Gloria Millaray Julia Curilem Saldías ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Santa Catarina, Brasil(2003)",NA
Tshilidzi Marwala ,NA,"Doutorado em Filosofia da Engenharia pela University of Cambridge, Inglaterra(2000)","Adjunct Professor of Electrical Engineering da Universidade de Joanesburgo , África do Sul"
  1 2 3 4 5 6 7 8 9 10 11   próximo ...,NA,NA,NA
Mário Augusto Pires Vaz ,NA,"Doutorado em Programa Doutoral em Engenharia Mecânica pela Faculdade de Engenharia da Universidade do Porto, Portugal(1995)",NA
Marco Follador ,NA,"Doutorado em Geographie at amenagement pelo Université de Toulouse II - Le Mirail, França(2008)",NA
Rafael Bello ,NA,"Doutorado pelo Universidad Central Marta Abreu de Las Villas, Cuba(1987)","Full Professor do Universidad Central Marta Abreu de Las Villas , Cuba"
Frank Alexis Canahuire Cabello ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2016)",NA
Pablo Alberto Moscato ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2001)","Professor da The University of Newcastle , Austrália"
Jorge Carlos Valverde Rebaza ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2017)",NA
Pável Pereira Calado ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Minas Gerais, Brasil(2004)",NA
Said Tazi ,NA,"Doutorado em Inteligência Artificial pelo Universite de Toulouse III (Paul Sabatier), França(1985)",NA
José António Barata de Oliveira ,NA,"Doutorado em Engenharia Electrotécnica pela Universidade Nova de Lisboa, Portugal(2004)","Professor da Universidade Nova de Lisboa , Portugal"
Vítor Manuel de Morais Santos Costa ,NA,"Doutorado em Computer Science pela University Of Bristol, Grã-Bretanha(1993)","Professor Auxiliar da Faculdade de Ciências da Universidade do Porto , Portugal"
Laura Andrea García Llobodanin ,NA,"Doutorado em Doutorado em Engenharia Química e de Processos pelo Universitat Rovira i Virgili, Espanha(2008)",NA
Harold Vincent Poor ,NA,"Doutorado em Electrical Engineering pela Princeton University, Estados Unidos(1977)","Michael Henry Strater University Professor da Princeton University , Estados Unidos"
José Alfredo Ruiz Vargas ,NA,"Doutorado em Engenharia Eletrônica e Computação pelo Instituto Tecnológico de Aeronáutica, Brasil(2003)","Professor Adjunto da Universidade de Brasília , Brasil"
Alberto Angel Mazzoni ,NA,"Doutorado em Engenharia de Produção pela Universidade Federal de Santa Catarina, Brasil(2003)","professor adjunto da Universidade Estadual de Maringá , Brasil"
Stavros Akras ,NA,"Doutorado em Interstellar medium pela University of Patras, Grécia(2010)",NA
Phokion Georgiou ,NA,"Doutorado em Behaviour In Organisations pela Lancaster University, Grã-Bretanha(2004)","Professor Titular da Fundação Getulio Vargas - SP , Brasil"
Hae Yong Kim ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1997)","Professor associado 3 da Universidade de São Paulo , Brasil"
Nunzio Marco Torrisi ,NA,"Doutorado em Dottorato in Ingeneria Informatica pelo Universita´ degli Studi di Catania - ITALY, Itália(2006)","Professor Adjunto da Universidade Federal do ABC , Brasil"
Alan Harold Bridges ,NA,"Doutorado em Architetura pela University of Strathclyde, Escócia(1982)","Professor Convidado da Universidade de Brasília , Brasil"
Guillermo Cámara Chávez ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Minas Gerais, Brasil(2007)","Professor Adjunto III da Universidade Federal de Ouro Preto , Brasil"
Diego José Rátiva Millán ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Pernambuco, Brasil(2008)",NA
Rui Manuel Alves da Silva e Sousa ,NA,"Doutorado em SIstemas de Produção pela Universidade do Minho, Portugal(2003)",NA
Juan Alberto Castillo-Garit ,NA,"Doutorado em Pharmacetical Sciences pelo Universidad Central Marta Abreu de Las Villas, Cuba(2008)",NA
Flavia Jorgelina Krsticevic ,NA,"Doutorado em Ciências Biológicas (Genética) pela Universidade Federal do Rio de Janeiro, Brasil(2009)",NA
Andrea Chiuchiarelli ,NA,"Doutorado em Tecnologie Innovative pelo Scuola Superiore Sant'Anna di Studi Universitari e Perfezionamento, Itália(2010)",NA
Virgilio Gavicho Uarrota ,"Bolsista de Pós-Doutoramento da Universidade do Estado de Santa Catarina , Brasil","Doutorado em Recursos Genéticos Vegetais pela Universidade Federal de Santa Catarina, Brasil(2015)",NA
Kim LaVerne Boyer ,NA,"Doutorado em Electrical Engineering pela Purdue University, Estados Unidos(1986)","Professor da Ohio State University , Estados Unidos"
Joseph Sarkis ,NA,"Doutorado em Management Sciences pela University at Buffalo, Estados Unidos(1992)",NA
Huei Diana Lee ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2005)","Professor Associado da Universidade Estadual do Oeste do Paraná , Brasil"
Pedro Jorge Zany Pampulim Martins Caldeira ,NA,"Doutorado em Gestão da Informação pela Universidade Nova de Lisboa, Portugal(1999)","Professor Adjunto I da Universidade Federal do Triângulo Mineiro , Brasil"
Witold Pedrycz ,NA,"Doutorado em Computer Science pela Silesian University of Technology, Polônia(1980)","Professor da University of Alberta , Canadá"
Peter Maurice Erna Claessens ,NA,"Doutorado em Psicologia pelo Katholieke Universiteit Leuven, Bélgica(2005)","Professor Adjunto da Universidade Federal do ABC , Brasil"
Sofiane Labidi ,NA,"Doutorado em Ciência da Computação pelo Institut National de Recherche En Informatique Et Automatique, França(1995)","Professor Adjunto da Universidade Federal do Maranhão , Brasil"
Leonardo Ramirez Lopez ,NA,"Doutorado em Pedometrics pelo Eberhard Karls Universität Tübingen, Alemanha(2013)",NA
Oscar Daniel Quiroga ,NA,"Doutorado em Ingeniería Industrial pelo Universitat Politècnica de Catalunya - Barcelona Tech, Espanha(2000)","Professor Titular do Universidad Nacional del Litoral , Argentina"
Pedro José de Melo Teixeira Pinto ,NA,"Doutorado em Informática Aplicada pela Universidade de Tras-os-Montes e Alto Douro, Portugal(1998)","Professor Catedrático da Universidade de Trás-os-Montes- Alta Douro , Portugal"
Michihito Deguchi ,NA,"Doutorado em Ciências da agricultura pela Tohoku University, Japão(2004)","Professor colaborador da Universidade Federal do Espírito Santo , Brasil"
César Manuel Vargas Benitez ,NA,"Doutorado em Engenharia Elétrica e Informática Industrial pela Universidade Tecnológica Federal do Paraná, Brasil(2015)",NA
Francisco Vasques ,NA,"Doutorado em Informatique Industrielle pelo Laboratoire d'Automatique et d'Analyse des Système, França(1996)",NA
Rosa Elvira Correa Pabón ,NA,"Doutorado em Geociências pela Universidade Estadual de Campinas, Brasil(2015)",NA
Pedro Gil Martins Vieira ,NA,"Doutorado em Física pelo Ecole Normale Supérieure Paris, França(2008)","Professor Colaborador da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Julio Cesar Alvarez Iglesias ,NA,"Doutorado em Doutorado em Engenharia de Materiais e Metalúrgica pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2012)",NA
Dinesh Kant Kumar ,NA,"Doutorado em Biosignal Analysis pelo Indian Institute of Technology Delhi, Índia(1991)",NA
Maria João Feio ,NA,"Doutorado em Biologia pela Universidade de Coimbra, Portugal(2005)",NA
David Güemes-Castorena ,NA,"Doutorado em Administración de la Ingeniería/ de la Tecnología pela George Washington University, Estados Unidos(2001)","PROFESOR E INVESTIGADOR do Instituto Tecnologico Y de Estudios Superiores de Monterrey , México"
Arturo Forner Cordero ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em PhD in Mechanical Engineering (Biomechanics) pela University of Twente, Holanda(2003)","Professor Livre-Docente da Universidade de São Paulo , Brasil"
Ivette Raymunda Luna Huamani ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2007)",NA
Davy Monticolo ,NA,"Doutorado em Computer System pelo Université de Technologie de Belfort-Montbéliard, França(2008)",NA
Miguel Angel Calle Gonzales ,NA,"Doutorado em Engenharia Mecânica pela Universidade de São Paulo, Brasil(2009)",NA
Frank Sill Torres ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade de Rostock, Alemanha(2007)","Professor Adjunto da Universidade Federal de Minas Gerais , Brasil"
Ahmed Ali Abdalla Esmin ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Itajubá, Brasil(2005)","Professor Adjunto da Universidade Federal de Lavras , Brasil"
José Manuel Molina López ,NA,"Doutorado em PhD in telecommunications engineering pelo Universidad Politécnica de Madrid, Espanha(1997)","Full Professor do Universidad Carlos III de Madrid , Espanha"
Joel José Puga Coelho Rodrigues ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Engeharia Informática pela Universidade da Beira Interior, Portugal(2006)","Professor Adjunto do Instituto Nacional de Telecomunicações , Brasil"
Esteban Walter Gonzalez Clua ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2004)","professor Associado nivel 1 DE da Universidade Federal Fluminense , Brasil"
Dominik Lenz ,NA,"Doutorado em Veterinarian pelo Universität Leipzig, Alemanha(2000)","Professor Titular da Universidade Vila Velha , Brasil"
Carlos Alberto Henggeler de Carvalho Antunes ,NA,"Doutorado em Engenharia Electrotécnica pela Universidade de Coimbra , Portugal(1992)","Professor Catedrático da Universidade de Coimbra , Portugal"
Massimo De Gregorio ,NA,"Doutorado em Cibernetica pelo Universita degli Studi di Napoli Federico II, Itália(1990)",NA
António Paulo Gomes Mendes Moreira ,NA,"Doutorado em Engenharia Eletrotécnica e de Computadores pela Faculdade de Engenharia da Universidade do Porto, Portugal(1998)",NA
Eric Bair ,NA,"Doutorado em Statistics pela Stanford University, Estados Unidos(2005)","Research Associate Professor da University of North Carolina, Chapel Hill , Estados Unidos"
Christopher Alexander Cunningham Castro ,NA,"Doutorado em Meteorologia pelo Instituto Nacional de Pesquisas Espaciais, Brasil(2011)",NA
Milo Charles Wiltbank ,NA,NA,"Professor Titular da University of Wisconsin-Madison , Estados Unidos"
Israel Jorge Cárdenas Nuñez ,NA,"Doutorado em Engenharia Mecânica pela Universidade Federal de Uberlândia, Brasil(2005)","Professor Adjunto da Universidade Federal do Triângulo Mineiro , Brasil"
Hernán Darío Cerón-Muñoz ,NA,"Doutorado em Engenharia mecânica pela Escola de Engenharia de São Carlos USP, Brasil(2009)","Professor Doutor da Universidad de São Paulo, Escola de Engenharia de São Carlos , Brasil"
Bruno Luiggi Macchiavello Espinoza ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Engenharia Elétrica pela Universidade de Brasília, Brasil(2009)",NA
Rui Manuel Vieira Reis ,NA,"Doutorado em Biologia Humana pela Faculdade de Medicina da Universidade do Porto, Portugal(2002)",NA
Angel Freddy Godoy Viera ,NA,"Doutorado em Engenharia de Produção pela Universidade Federal de Santa Catarina, Brasil(2001)","Professor Associado III da Universidade Federal de Santa Catarina , Brasil"
Eric Guy Claude Laporte ,NA,"Doutorado em Ciências da computação pelo Université Paris Diderot, França(1988)","Professor titular do Université Marne-La-Vallée , França"
Luis Manuel Navas Gracia ,NA,"Doutorado em Energía y Maquinaria pelo Universidad Politécnica de Madrid, Espanha(1996)",NA
Gustavo Alberto Giménez Lugo ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2004)","Professor da Universidade Tecnológica Federal do Paraná , Brasil"
Eugene Francis Vinod Rebello ,NA,"Doutorado em Computer Science pela University of Edinburgh, Escócia(1996)","Professor Associado IV da Universidade Federal Fluminense , Brasil"
Nayat Sánchez Pi ,NA,"Doutorado em Doctorado en Ciencia y Tecnología Informática pelo Universidad Carlos III de Madrid, Espanha(2011)","Professor Adjunto da Universidade do Estado do Rio de Janeiro , Brasil"
Luis Rodrigues ,NA,"Doutorado em Engenharia Electrotécnica e de Computadores pela Universidade Técnica de Lisboa, Portugal(1996)","Professor Catedrático do Instituto Superior Tecnico , Portugal"
Gilberto Reynoso Meza ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Automática, Robótica e Informática Industrial pelo Universitat Politècnica de València, Espanha(2014)","Professor Adjunto da Pontifícia Universidade Católica do Paraná , Brasil"
Harold Ivan Angulo Bustos ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2003)","Professor Adjunto II da Universidade do Estado do Rio Grande do Norte , Brasil"
Fernando Ilídio da Silva Ferreira ,NA,"Doutorado em Estudos da Criança pela Universidade do Minho, Portugal(2003)","Professor Associado da Universidade do Minho , Portugal"
Jean-Pierre Briot ,NA,"Doutorado em Informatica pelo Université Pierre et Marie Curie - Paris 6, França(1984)",NA
João Manuel Ribeiro da Silva Tavares ,NA,"Doutorado em Engenharia Electrotécnica e de Computadores pela Faculdade de Engenharia da Universidade do Porto, Portugal(2001)","Professor Associado da Faculdade de Engenharia da Universidade do Porto , Portugal"
Richard S Gates ,NA,"Doutorado em Biological Engineering pela Cornell University, Estados Unidos(1984)",NA
Alberto Rosa Rivero ,NA,"Doutorado em Filosofia y Ciencias de la Educación pelo Universidad Complutense de Madrid, Espanha(1980)",NA
José Manuel Amigo Rubio ,NA,"Doutorado em Chemistry pela Autonomous University of Barcelona, Espanha(2007)","Associate Professor da University of Copenhagen , Dinamarca"
Veronica Ines Fernandez Orellano ,NA,"Doutorado em Teoria Econômica pela Faculdade de Economia, Administração e Contabilidade - USP, Brasil(2003)","professor da Escola de Economia de São Paulo , Brasil"
Maria Teresa Carthery-Goulart ,NA,"Doutorado em Neurologia pela Faculdade de Medicina da Universidade de São Paulo, Brasil(2005)",NA
Gina Paola Polo Infante ,NA,"Doutorado em Epidemiologia Experimental Aplicada Às Zoonoses pela Universidade de São Paulo, Brasil(2017)",NA
Christelle Dodane ,NA,"Doutorado pelo Université de Franche-Comté, França(2003)",NA
Linda Gentry El-Dash ,NA,"Doutorado em Lingüística Aplicada pela Universidade Estadual de Campinas, Brasil(1993)","Professor titular da Universidade Estadual de Campinas , Brasil"
Rui António Rodrigues Ramos ,NA,"Doutorado em Engenharia Civil pela Universidade do Minho, Portugal(2000)","Professor Associado da Universidade do Minho , Portugal"
Zair Abdelouahab ,NA,"Doutorado em Computer Studies pela University Of Leeds, Grã-Bretanha(1993)","Professor titular da Universidade Federal do Maranhão , Brasil"
Sílvia Maria Dias Pedro Rebouças ,NA,"Doutorado em Estatística e Inv.Operacional -Prob. e Estatística pela Faculdade de Ciências da Universidade de Lisboa, Portugal(2011)","Professor adjunto da Universidade Federal do Ceará , Brasil"
Carlos Julio Tierra Criollo ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Biomédica pela Universidade Federal do Rio de Janeiro, Brasil(2001)","Professor Associado da Universidade Federal do Rio de Janeiro , Brasil"
Nadia Nedjah ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Computação pela University of Manchester - Institute of Science and Technology, Grã-Bretanha(1997)","Professora Adjunta da Universidade do Estado do Rio de Janeiro , Brasil"
Robert Sabourin ,NA,"Doutorado em Génie Électrique pelo Ecole Polytechnique de Montreal, Canadá(1991)","Professor titular da Pontifícia Universidade Católica do Paraná , Brasil"
Rui Filipe Nunes Pais de Oliveira ,NA,"Doutorado em Biologia pela Universidade de Lisboa, Portugal(1996)","Professor Catedrático do Instituto Universitário de Ciências Psicológicas Sociais e da Vida , Portugal"
Adriano Joaquim de OLIVEIRA CRUZ ,NA,"Doutorado em Electronic Engineering pela University of Southampton, Inglaterra(1988)","Professor Associado da Universidade Federal do Rio de Janeiro , Brasil"
Wim Maurits Sylvain Degrave ,NA,"Doutorado em Biologia Molecular pela Ghent University, Bélgica(1985)",NA
Hermann Johann Heinrich Kux ,NA,"Doutorado em Geologia pelo Universität Freiburg, Alemanha(1976)",NA
Eugénia Maria Guedes Pinto Antunes da Cunha ,NA,"Doutorado pela Universidade de Coimbra, Portugal(1994)","professora catedrática da Universidade de Coimbra , Portugal"
Abdelhak Razky ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Lingüística pelo Université de Toulouse Le Mirail, França(1992)","Professor (associado 4) da Universidade de Brasília , Brasil"
Eduardo Mario Mendiondo ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Recursos Hídricos e Saneamento Ambiental pela Universidade Federal do Rio Grande do Sul, Brasil(2001)",NA
Hans Jürgen Herrmann ,NA,"Doutorado em Fisica pelo Universität zu Köln, Alemanha(1981)","Professor e pesquisador do Swiss Federal Institute of Technology Zurich , Suiça"
Aran Bey Tcholakian Morales ,NA,"Doutorado em Engenharia de Produção pela Universidade Federal de Santa Catarina, Brasil(1997)",NA
Giuseppe Mario Cocco ,NA,"Doutorado em História Social pelo Université Paris 1 Pantheon-Sorbonne, França(1993)","Professor Titular da Universidade Federal do Rio de Janeiro , Brasil"
Saddo Ag Almouloud ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Mathématiques Et Applications pelo Université de Rennes I, França(1992)",NA
Edward David Moreno Ordonez ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1998)",NA
Osvaldo Ronald Saavedra Mendez ,Bolsista de Produtividade em Pesquisa 1D - CA EE | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1993)","Professor titular da Universidade Federal do Maranhão , Brasil"
Eugenio Andrés Díaz Merino ,Bolsista de Produtividade em Pesquisa 1C - CA DI | Orientador de Doutorado,"Doutorado em Engenharia de Produção pela Universidade Federal de Santa Catarina, Brasil(2000)","Professor Titular da Universidade Federal de Santa Catarina , Brasil"
Antonio Abel González Carrasquilla ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2,"Doutorado em Geofísica pela Universidade Federal do Pará, Brasil(1993)","Professor Titular da Universidade Estadual do Norte Fluminense Darcy Ribeiro , Brasil"
José María Monserrat ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Oceanografia Biológica pela Universidade Federal do Rio Grande, Brasil(1997)",NA
Fernando José Martinelli ,NA,"Doutorado em Engenharia Electrotécnica pela Universidade Nova de Lisboa, Portugal(2001)",NA
Symone Gomes Soares Alcalá ,NA,"Doutorado em Engenharia Eletrotécnica e de Computadores pela Universidade de Coimbra, Portugal(2015)","Professor Adjunto-A da Universidade Federal de Goiás , Brasil"
Adalberto Bosco Castro Pereira ,NA,"Doutorado em Ciências da Computação pela Universidade de São Paulo, Brasil(2017)","Professor do Centro Universitário Senac , Brasil"
Gustavo Antonio Furquim ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2017)","Professor do Instituto Federal de São Paulo , Brasil"
Amauri Holanda de Souza Júnior ,NA,"Doutorado em Engenharia de Teleinformática pela Universidade Federal do Ceará, Brasil(2014)","Professor do Instituto Federal do Ceará - Reitoria , Brasil"
Thiago Barros Rodrigues Costa ,NA,"Doutorado em Matemática Aplicada pelo Harvard School of Engineering and Applied Sciences, Estados Unidos(2015)",NA
Vitor Campanholo Guizilini ,NA,"Doutorado em Autonomous Navigation (Machine Learning) pela The University of Sydney, Austrália(2013)",NA
Fernanda Monteiro Eliott ,NA,"Doutorado em Engenharia Eletrônica e Computação pelo Instituto Tecnológico de Aeronáutica, Brasil(2015)",NA
Francisco de Assis Boldt ,NA,"Doutorado em Ciência da Computação pela Universidade Federal do Espírito Santo, Brasil(2017)","Professor Ensino Básico Técnico Tecnológico do Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo , Brasil"
Roberto Vito Rodrigues Filho ,NA,"Doutorado em Computer Science pela Lancaster University, Inglaterra(2018)",NA
Maisa Cristina Duarte ,NA,"Doutorado em Ciência da Computação pela Universidade Federal de São Carlos, Brasil(2016)",NA
Giancarlo Dondoni Salton ,NA,"Doutorado em Computer Science pelo Dublin Institute of Technology, Irlanda(2017)",NA
Ananda Lima Freire ,NA,"Doutorado em Engenharia de Teleinformática pela Universidade Federal do Ceará, Brasil(2015)",NA
Leonardo Daniel Tavares ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Minas Gerais, Brasil(2015)",NA
Jarley Palmeira Nóbrega ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2015)",NA
Silas Evandro Nachif Fernandes ,NA,"Doutorado em Ciência da Computação pela Universidade Federal de São Carlos, Brasil(2017)","Professor da Universidade do Sagrado Coração , Brasil"
André da Motta Salles Barreto ,NA,"Doutorado em Eng. Civil, Sis.Computacionais (conceito CAPES 7) pela Universidade Federal do Rio de Janeiro, Brasil(2008)",NA
Thiago Henrique Cupertino ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2013)",NA
Tiago Agostinho de Almeida ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2010)","Professor Adjunto da Universidade Federal de São Carlos , Brasil"
Igor dos Santos Montagner ,NA,"Doutorado em Ciencia da Computacao pela Universidade de São Paulo, Brasil(2017)","Professor do Insper Instituto de Ensino e Pesquisa , Brasil"
Vinicius Oliverio ,NA,"Doutorado em Ginecologia e Obstetrícia pela Faculdade de Medicina de Ribeirão Preto - USP, Brasil(2018)","Professor do Centro Universitário Unifafibe , Brasil"
Murilo Fernandes Martins ,NA,"Doutorado em Engenharia Elétrica pelo Imperial College of Science, Technology and Medicine, Inglaterra(2012)",NA
Filipo Studzinski Perotto ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2010)","Professor Substituto da Universidade Federal do Rio Grande do Sul , Brasil"
Michel Aguena da Silva ,Bolsista de Pós-doutorado Júnior,"Doutorado em Física pela Universidade de São Paulo, Brasil(2017)",NA
