Nome,Bolsista,Doutorado,Professor
Andrej Aderhold ,NA,"Doutorado em biologia computacional pela University of St Andrews, Escócia(2014)",NA
David John Rohde ,NA,"Doutorado pela University of Queensland, Austrália(2009)",NA
Paulo José da Costa Branco ,NA,"Doutorado em Eng. Electrotécnica e de Computadores pelo Instituto Superior Técnico, Portugal(1998)",NA
Ernest Fokoué ,NA,"Doutorado em PhD in Statistics pela University of Glasgow, Escócia(2001)","Associate Professor do Rochester Institute of Technology , Estados Unidos"
Juan Carlos Vidal Aguiar ,NA,"Doutorado em Electrónica e Informática pelo Universidad de Santiago de Compostela - Campus Santiago, Espanha(2010)",NA
Atlas Khan ,NA,"Doutorado em Mathematics pela Dalian University of Technology, China(2013)",NA
Rui Antonio Rocha Tato Marinho ,NA,"Doutorado em Gastroenterologia pela Universidade Nova de Lisboa, Portugal(2002)","Professor auxiliar do Hospital Universitário Santa Maria , Portugal"
Francesco Corona ,NA,"Doutorado em Industrial Engineering pelo Università degli Studi di Cagliari, Itália(2007)","Professor da Universidade Federal do Ceará , Brasil"
Juan Gabriel Colonna ,NA,"Doutorado em Informática pela Universidade Federal do Amazonas, Brasil(2017)",NA
Nitin Indurkhya ,NA,"Doutorado em Computer Science pela Rutgers - The State University of New Jersey, Estados Unidos(1991)","Professor Adjunto da University of New South Wales , Austrália"
Stefan Wermter ,NA,"Doutorado em Computer Science pelo Universität Hamburg, Alemanha(1993)",NA
Brett Mylo Drury ,NA,"Doutorado em MAPi pela Universidade do Porto, Portugal(2013)",NA
Manuel Schütze ,NA,"Doutorado em Medicina Molecular pela Universidade Federal de Minas Gerais, Brasil(2015)",NA
Tomas Horvath ,NA,"Doutorado em Informatics pela Pavol Jozef Safárik University in Kosice, Eslováquia(2008)",NA
Luis Martí Orosa ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Doctorado en Ciencia y Tecnología Informática pelo Universidad Carlos III de Madrid, Espanha(2011)","Professor Adjunto da Universidade Federal Fluminense , Brasil"
Leonardo Alfredo Forero Mendoza ,NA,"Doutorado em Doutorado em Engenharia Elétrica - Pontifícia Universidade Católica, RJ pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2013)","professor adjunto da Universidade do Estado do Rio de Janeiro , Brasil"
Marie Kathleen Iding ,NA,"Doutorado em Educational Psychology pela University Of California Santa Barbara, Estados Unidos(1991)",NA
María Lucía Castro Jorge ,NA,"Doutorado em Ciências da Computação pelo Instituto de Ciências Matemáticas e de Computação- USP, Brasil(2015)",NA
Rui Alexandre de Matos Araújo ,NA,"Doutorado em Doutoramento em Engenharia Electrotécnica pela Universidade de Coimbra, Portugal(2000)","Professor Auxliar da Universidade de Coimbra , Portugal"
Edgar Leonardo Romero Tobar ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2010)",NA
Vladimir Alvarado Basante ,NA,"Doutorado em Chemical Engineering pela University of Minnesota System, Estados Unidos(1996)","Professor Associado do Universidad Simón Bolívar , Venezuela"
Miguel Angel Guevara López ,NA,"Doutorado em Ciencias Tecnicas pelo Instituto de Cibernética, Matemática y Física. Academia de Ciencias de Cuba, Cuba(1997)",NA
Brian Lynn Steward ,NA,"Doutorado em Agricultural Engineering pela University of Illinois at Urbana-Champaign, Estados Unidos(1999)","Professor da Iowa State University , Estados Unidos"
Yves Frégnac ,NA,"Doutorado em Neuroscience (Doctorat ès-sciences) pelo Université Pierre et Marie Curie, França(1982)",NA
Michael González Durruthy ,"Bolsista CAPES do Doutorado em Ciencias Fisio da Universidade Federal do Rio Grande , Brasil","Doutorado em Ciências Fisiológicas - Fisiologia Animal Comparada pela Universidade Federal do Rio Grande, Brasil(2018)",NA
Elói João Faria Figueiredo ,Bolsista de Pesquisador Visitante 1,"Doutorado em Engenharia Civil pela Faculdade de Engenharia da Universidade do Porto, Portugal(2010)",NA
Lianet Sepúlveda Torres ,"BOLSISTA PAE SCC-0206-INTRODUÇÂO À COMPILAÇÂO do Instituto de Ciências Matemáticas e de Computação , Brasil","Doutorado em Ciências da Computação e Matemática Computacional pelo Instituto de Ciências Matemáticas e de Computação, Brasil(2015)",NA
Mauricio Valle ,NA,"Doutorado em Management pelo Universidad Adolfo Ibàñez, Chile(2012)","Assistant Professor do Universidad Finis Terrae , Chile"
Thomas Walter Rauber ,NA,"Doutorado em Engenharia Electrotécnica pela Universidade Nova de Lisboa, Portugal(1995)","Professor Associado da Universidade Federal do Espírito Santo , Brasil"
